token,raw_csv,candidate_count,phog_top1_tile_id,phog_top1_error_m,phog_top1_lsd_rank,phog_top1_lsd_score,phog_top1_lsd_shift_mag_px,phog_top1_lsd_boundary,lsd_top1_tile_id,lsd_top1_error_m,lsd_top1_phog_rank,lsd_top1_lsd_rank,lsd_top1_lsd_score,lsd_top1_shift_mag_px,lsd_top1_boundary,oracle_best_top50_error_m,oracle_best_top50_tile_id,oracle_best_top50_phog_rank,oracle_best_top50_lsd_rank,oracle_best_top50_lsd_score,first_phog_rank_under_20m,first_phog_rank_under_40m,first_phog_rank_under_60m,first_lsd_rank_under_20m,first_lsd_rank_under_40m,first_lsd_rank_under_60m,phog_margin_top1_top2,failure_group,gate_error_m,gate_selection_reason,gate_phog_rank,gate_lsd_rank,gate_lsd_score,uav_junction_count,uav_L_count,uav_T_count,uav_X_count,uav_junction_salience_sum,uav_junction_type_entropy,uav_luma_lsd_line_count,uav_luma_lsd_total_line_length_px,gt_junction_count,gt_L_count,gt_T_count,gt_X_count,gt_junction_salience_sum,gt_junction_type_entropy,gt_luma_lsd_line_count,gt_luma_lsd_total_line_length_px,phog_junction_count,phog_L_count,phog_T_count,phog_X_count,phog_junction_salience_sum,phog_junction_type_entropy,phog_luma_lsd_line_count,phog_luma_lsd_total_line_length_px,lsd_junction_count,lsd_L_count,lsd_T_count,lsd_X_count,lsd_junction_salience_sum,lsd_junction_type_entropy,lsd_luma_lsd_line_count,lsd_luma_lsd_total_line_length_px,oracle_junction_count,oracle_L_count,oracle_T_count,oracle_X_count,oracle_junction_salience_sum,oracle_junction_type_entropy,oracle_luma_lsd_line_count,oracle_luma_lsd_total_line_length_px,rot_best_profile,rot_best_error_m,rot_best_angle_deg,rot_summary_csv,low_uav_junction_structure,low_uav_line_structure,correct_candidate_in_pool,near_candidate_in_pool,lsd_large_shift,lsd_boundary_shift,lsd_damage_m,lsd_improvement_m,selection_gap_to_oracle_m,copied_assets
387,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0387_luma_lsd_raw_lsd_scores_top50.csv,50,6847,1889.0252539995129,9,55.51013946533203,0.0,False,5194,1007.5835985539868,5,1,32.37084197998047,0.0,False,945.3051082906984,4150,44,14,68.43724060058594,,,,,,,0.0001488327980041504,candidate_pool_failure,1007.5835985539868,fallback_lsd,5,1,32.37084197998047,3.0,1.0,2.0,0.0,227.41290476079516,0.5793801642856949,71.0,3166.378662109375,10.0,10.0,0.0,0.0,597.0917173506664,-0.0,57.0,2154.383544921875,2.0,1.0,1.0,0.0,40.82341764087151,0.6309297535714574,15.0,428.9324035644531,6.0,5.0,1.0,0.0,337.4577500564872,0.410118486306518,44.0,1538.995849609375,2.0,2.0,0.0,0.0,132.626869363722,-0.0,24.0,898.1378784179688,rot_lsd_only,1007.5835985539868,0.0,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_rotation_aware_lsd/s4c6b_traj01_fixed_top50_summary_by_token_profile.csv,True,False,False,False,False,False,-881.4416554455261,881.4416554455261,62.278490263288404,"[""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0387_s4c5a_token0387_junction_lsd_frontend.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0387_s4c6b_token0387_fixed_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0387_s4c6b_token0387_orientation_prior_panel_top5.png""]"
573,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0573_luma_lsd_raw_lsd_scores_top50.csv,50,4380,2179.301483589029,2,29.744123458862305,0.0,False,4255,2172.6080006027173,6,1,25.816356658935547,0.0,False,739.2537292126083,2920,49,46,102.31501007080078,,,,,,,0.002939283847808838,candidate_pool_failure,2172.6080006027173,fallback_lsd,6,1,25.816356658935547,19.0,8.0,11.0,0.0,2705.403710133505,0.619535658677928,120.0,9082.802734375,5.0,5.0,0.0,0.0,350.6155540300896,-0.0,120.0,6503.1328125,3.0,2.0,1.0,0.0,199.26717915688076,0.5793801642856949,62.0,2544.4638671875,3.0,2.0,1.0,0.0,185.3842936943405,0.5793801642856949,62.0,2535.726318359375,6.0,6.0,0.0,0.0,289.93720577791146,-0.0,24.0,894.113037109375,rot_lsd_only,2172.6080006027173,10.0,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_rotation_aware_lsd/s4c6b_traj01_fixed_top50_summary_by_token_profile.csv,False,False,False,False,False,False,-6.693482986311665,6.693482986311665,1433.354271390109,"[""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0573_s4c5a_token0573_junction_lsd_frontend.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0573_s4c6b_token0573_fixed_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0573_s4c6b_token0573_orientation_prior_panel_top5.png""]"
577,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0577_luma_lsd_raw_lsd_scores_top50.csv,50,368,1949.416349465337,1,15.505367279052734,0.0,False,368,1949.416349465337,1,1,15.505367279052734,0.0,False,717.5719916346494,5077,44,13,26.150657653808597,,,,,,,0.00024509429931640625,candidate_pool_failure,1949.416349465337,fallback_lsd,1,1,15.505367279052734,23.0,13.0,10.0,0.0,3074.8059975652386,0.6231645912420036,120.0,8639.673828125,5.0,5.0,0.0,0.0,350.6155540300896,-0.0,120.0,6503.1328125,14.0,8.0,6.0,0.0,2298.684871383708,0.6216097450797566,100.0,6131.51123046875,14.0,8.0,6.0,0.0,2298.684871383708,0.6216097450797566,100.0,6131.51123046875,5.0,5.0,0.0,0.0,431.37979389209806,-0.0,91.0,4104.50537109375,phog_only,1949.416349465337,0.0,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_rotation_aware_lsd/s4c6b_traj01_fixed_top50_summary_by_token_profile.csv,False,False,False,False,False,False,0.0,0.0,1231.8443578306874,"[""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0577_s4c5a_token0577_junction_lsd_frontend.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0577_s4c6b_token0577_fixed_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0577_s4c6b_token0577_orientation_prior_panel_top5.png""]"
366,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0366_luma_lsd_raw_lsd_scores_top50.csv,50,2500,1704.4675685992272,43,153.18040466308594,40.0,False,8207,1669.5464339740909,41,1,47.30830383300781,0.0,False,638.0462027798397,7644,33,38,134.67529296875,,,,,,,0.00020360946655273438,candidate_pool_failure,1669.5464339740909,fallback_lsd,41,1,47.30830383300781,24.0,19.0,5.0,0.0,1849.930986005505,0.4658058886614236,90.0,3533.212646484375,20.0,11.0,9.0,0.0,1508.283439870234,0.626370941606566,87.0,3340.23583984375,0.0,0.0,0.0,0.0,0.0,0.0,4.0,113.86805725097656,1.0,1.0,0.0,0.0,62.88015425967528,-0.0,27.0,780.3370971679688,0.0,0.0,0.0,0.0,0.0,0.0,4.0,113.10193634033205,rot_lsd_only,1669.5464339740909,0.0,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_rotation_aware_lsd/s4c6b_traj01_orientation_prior_top50_summary_by_token_profile.csv,False,False,False,False,False,False,-34.92113462513635,34.92113462513635,1031.5002311942512,"[""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0366_s4c5a_token0366_junction_lsd_frontend.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0366_s4c6b_token0366_fixed_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/candidate_pool_failure/candidate_pool_failure_token0366_s4c6b_token0366_orientation_prior_panel_top5.png""]"
494,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0494_luma_lsd_raw_lsd_scores_top50.csv,50,5316,28.82899963966286,3,46.31280899047852,0.0,False,5508,2031.4437514184715,14,1,40.338714599609375,0.0,False,28.82899963966286,5316,1,3,46.31280899047852,,1.0,1.0,,3.0,3.0,0.001348555088043324,lsd_destroyed_phog_success,2031.4437514184715,fallback_lsd,14,1,40.338714599609375,9.0,7.0,2.0,0.0,580.9820071826176,0.482159360969681,94.0,3570.627197265625,8.0,7.0,1.0,0.0,576.6494396291607,0.3429509801981277,64.0,2066.63720703125,8.0,7.0,1.0,0.0,474.2840308613865,0.3429509801981277,64.0,2149.779296875,6.0,6.0,0.0,0.0,350.8869879558836,-0.0,43.0,1516.5596923828125,8.0,7.0,1.0,0.0,474.2840308613865,0.3429509801981277,64.0,2149.779296875,,,,,True,False,True,True,False,False,2002.6147517788086,-2002.6147517788086,2002.6147517788086,"[""outputs/satloc/assets/s4c6_failure_analysis/lsd_destroyed_phog_success/lsd_destroyed_phog_success_token0494_s4c5a_token0494_junction_lsd_frontend.png""]"
269,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0269_luma_lsd_raw_lsd_scores_top50.csv,50,4149,7.532041265892122,12,39.70310592651367,24.0,False,6905,803.6803916276192,40,1,22.58741569519043,0.0,False,7.532041265892122,4149,1,12,39.70310592651367,1.0,1.0,1.0,12.0,12.0,12.0,0.005182862281799316,lsd_destroyed_phog_success,7.532041265892122,phog_anchor,1,12,39.70310592651367,17.0,15.0,2.0,0.0,2166.5159778547973,0.3296982574030469,59.0,3259.7158203125,5.0,5.0,0.0,0.0,335.8194686946747,-0.0,36.0,1380.0528564453125,5.0,5.0,0.0,0.0,335.8194686946747,-0.0,36.0,1380.0528564453125,26.0,20.0,6.0,0.0,1672.545889128726,0.4917150007886506,96.0,3518.459228515625,5.0,5.0,0.0,0.0,335.8194686946747,-0.0,36.0,1380.0528564453125,,,,,False,True,True,True,False,False,796.1483503617271,-796.1483503617271,796.1483503617271,"[""outputs/satloc/assets/s4c6_failure_analysis/lsd_destroyed_phog_success/lsd_destroyed_phog_success_token0269_s4c4c_token0269_luma_lsd_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/lsd_destroyed_phog_success/lsd_destroyed_phog_success_token0269_s4c5a_token0269_junction_lsd_frontend.png""]"
90,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0090_luma_lsd_raw_lsd_scores_top50.csv,50,7740,3211.489396191173,23,28.88711929321289,0.0,False,543,23.237158108933578,14,1,14.34453582763672,0.0,False,23.237158108933578,543,14,1,14.34453582763672,,14.0,14.0,,1.0,1.0,0.005394697189331055,lsd_rescue,3211.489396191173,phog_anchor,1,23,28.88711929321289,28.0,19.0,8.0,1.0,2869.981744937836,0.6736372773259046,120.0,7115.6181640625,19.0,12.0,7.0,0.0,1955.214699267865,0.599037526096642,120.0,7267.8037109375,11.0,8.0,3.0,0.0,703.6130279313154,0.5333570581245946,68.0,3611.640380859375,18.0,10.0,8.0,0.0,1812.24964249972,0.6252993742043005,120.0,7445.751953125,18.0,10.0,8.0,0.0,1812.24964249972,0.6252993742043005,120.0,7445.751953125,,,,,False,False,True,True,False,False,-3188.2522380822393,3188.2522380822393,0.0,"[""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0090_s4c4c_token0090_luma_lsd_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0090_s4c5a_token0090_junction_lsd_frontend.png""]"
1,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0001_luma_lsd_raw_lsd_scores_top50.csv,50,8237,2672.693485404899,47,150.151611328125,32.0,False,3545,15.072437260842536,5,1,22.29515266418457,8.0,False,15.072437260842536,3545,5,1,22.29515266418457,5.0,5.0,5.0,1.0,1.0,1.0,0.0006097555160522461,lsd_rescue,15.072437260842536,fallback_lsd,5,1,22.29515266418457,20.0,12.0,8.0,0.0,1978.6469492715407,0.6126016192893442,92.0,3986.6533203125,8.0,7.0,1.0,0.0,510.4380339098743,0.3429509801981277,61.0,2294.118896484375,0.0,0.0,0.0,0.0,0.0,0.0,10.0,295.5903015136719,8.0,7.0,1.0,0.0,510.4380339098743,0.3429509801981277,61.0,2294.118896484375,8.0,7.0,1.0,0.0,510.4380339098743,0.3429509801981277,61.0,2294.118896484375,rot_lsd_only,15.072437260842536,0.0,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_rotation_aware_lsd/s4c6b_traj01_fixed_top50_summary_by_token_profile.csv,False,False,True,True,False,False,-2657.6210481440567,2657.6210481440567,0.0,"[""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0001_s4c4c_token0001_luma_lsd_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0001_s4c5a_token0001_junction_lsd_frontend.png"", ""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0001_s4c6b_token0001_fixed_panel_top5.png"", ""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0001_s4c6b_token0001_orientation_prior_panel_top5.png""]"
310,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0310_luma_lsd_raw_lsd_scores_top50.csv,50,6847,2555.297600259051,7,60.079734802246094,8.0,False,5899,15.110351947969876,30,1,29.524377822875977,0.0,False,15.110351947969876,5899,30,1,29.524377822875977,30.0,30.0,30.0,1.0,1.0,1.0,0.0008122920989988014,lsd_rescue,15.110351947969876,fallback_lsd,30,1,29.524377822875977,15.0,11.0,4.0,0.0,1218.210943660706,0.527861537140782,69.0,2429.603271484375,6.0,6.0,0.0,0.0,420.9759738484853,-0.0,34.0,1189.5308837890625,2.0,1.0,1.0,0.0,40.82341764087151,0.6309297535714574,15.0,428.9324035644531,6.0,6.0,0.0,0.0,420.9759738484853,-0.0,34.0,1189.5308837890625,6.0,6.0,0.0,0.0,420.9759738484853,-0.0,34.0,1189.5308837890625,,,,,False,True,True,True,False,False,-2540.187248311081,2540.187248311081,0.0,"[""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0310_s4c5a_token0310_junction_lsd_frontend.png""]"
990,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0990_luma_lsd_raw_lsd_scores_top50.csv,50,3500,1638.1540256423496,9,69.25450134277344,0.0,False,5420,22.57078829934072,13,1,29.67247200012207,0.0,False,22.57078829934072,5420,13,1,29.67247200012207,,13.0,13.0,,1.0,1.0,0.0014774799346923828,lsd_rescue,22.57078829934072,fallback_lsd,13,1,29.67247200012207,31.0,27.0,4.0,0.0,2519.030983433048,0.3500260498837354,87.0,3339.5849609375,8.0,4.0,4.0,0.0,1083.0762957478196,0.6309297535714574,41.0,1813.211669921875,0.0,0.0,0.0,0.0,0.0,0.0,13.0,375.2729187011719,12.0,9.0,3.0,0.0,1348.4469950195212,0.5118595071429147,61.0,2435.471923828125,12.0,9.0,3.0,0.0,1348.4469950195212,0.5118595071429147,61.0,2435.471923828125,,,,,False,False,True,True,False,False,-1615.583237343009,1615.583237343009,0.0,"[""outputs/satloc/assets/s4c6_failure_analysis/lsd_rescue/lsd_rescue_token0990_s4c5a_token0990_junction_lsd_frontend.png""]"
