token,variants,per_variant_top_n,union_top_k_eval,candidate_count,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m,token_int
50,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,122,2383.259702865441,False,32.750780158481554,True,38.0,32.750780158481554,50
58,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,108,1302.7271121944514,False,39.62460037553323,True,56.0,39.62460037553323,58
67,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,129,847.2239801481543,False,51.45856767862398,False,,,67
74,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,109,1298.765472026796,False,134.61025389191167,False,,,74
117,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,142,1247.0120373767772,False,160.9416935033749,False,,,117
288,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,124,2255.1539348938527,False,44.911878175638485,False,,,288
300,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,134,1326.9549189725512,False,226.93049558039985,False,,,300
326,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,126,2161.826138106501,False,76.19087062077784,False,,,326
336,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,138,1348.555555575376,False,284.34643806948355,False,,,336
350,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,137,1206.6462747071005,False,384.5665590022211,False,,,350
366,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,119,1580.4337414301965,False,443.013746107891,False,,,366
387,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,124,1749.5043032384565,False,11.455529190090122,True,4.0,11.455529190090122,387
405,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,142,647.6738115691833,False,415.8959955537675,False,,,405
421,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,146,2160.752353304291,False,436.6528387912202,False,,,421
434,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,143,1559.960669513792,False,405.86843648499433,False,,,434
450,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,136,2470.6735517745165,False,469.6863784015748,False,,,450
474,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,125,2419.629893026636,False,76.6063358441765,False,,,474
503,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,115,2265.364289886883,False,31.253458854917834,True,35.0,31.253458854917834,503
564,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,95,1381.470709577026,False,38.75681158318906,True,67.0,38.75681158318906,564
573,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,100,2220.6429085593422,False,568.1063808885397,False,,,573
577,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,113,1949.4163461478024,False,535.2635983200925,False,,,577
591,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,134,1327.7703099888802,False,140.81553963948497,False,,,591
614,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,124,1944.7778207945853,False,141.90573834343806,False,,,614
631,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,152,1739.9867687668204,False,94.79163479293052,False,,,631
653,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,128,1786.6107952848515,False,120.87787245715178,False,,,653
662,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,129,1362.0243143481744,False,4.813682876615551,True,65.0,4.813682876615551,662
679,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,137,2146.192225674439,False,2.7535360079915296,True,4.0,2.7535360079915296,679
768,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,85,54.441350514173294,False,14.81490601588491,True,29.0,14.81490601588491,768
781,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,118,871.7529317127506,False,96.05051684581092,False,,,781
794,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,135,1081.5863965322817,False,130.72266555115496,False,,,794
808,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,125,742.7329791240966,False,52.255612948430105,False,,,808
820,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,140,955.4124913891902,False,27.81533933648143,True,140.0,27.81533933648143,820
833,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,121,457.16768259975663,False,143.39672974537112,False,,,833
844,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,157,474.95086577908216,False,12.990215636604606,True,9.0,12.990215636604606,844
937,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,143,48.873800412552576,False,17.259169948038252,True,15.0,17.259169948038252,937
952,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,116,1206.8408681726803,False,62.975376381841365,False,,,952
963,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,117,766.658156110132,False,52.56444011931175,False,,,963
971,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,115,1526.709899175818,False,99.6553099920788,False,,,971
1024,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,127,132.80768039191744,False,84.7228662485706,False,,,1024
1034,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,200,119,1555.339979327092,False,26.63331622078549,True,13.0,26.63331622078549,1034
