token,variants,per_variant_top_n,union_top_k_eval,candidate_count,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m,token_int
1,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,137,15.072437260721763,True,15.072437260721763,True,1.0,15.072437260721763,1
6,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,144,25.173257925336667,True,25.173257925336667,True,1.0,12.262600285628166,6
11,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,138,786.0766109262555,False,32.90649485062182,True,30.0,32.90649485062182,11
16,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,143,796.9439481997352,False,112.94767658882404,False,,,16
21,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,140,857.9458375932353,False,191.49474629961097,False,,,21
26,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,103,1137.074885383116,False,21.222233130034205,True,41.0,20.526886969408302,26
31,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,76,120.46654044637393,False,11.743486859912798,True,2.0,11.743486859912798,31
36,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,96,51.90947933848808,False,5.3505473202788245,True,3.0,5.3505473202788245,36
40,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,109,61.07991040825948,False,12.433470076196253,True,7.0,12.433470076196253,40
41,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,118,70.57505276496806,False,23.93413529514438,True,5.0,23.93413529514438,41
46,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,122,1220.3391122683208,False,17.573676838494016,True,6.0,17.573676838494016,46
50,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,122,2383.259702865441,False,32.750780158481554,True,38.0,32.750780158481554,50
51,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,112,2323.309947476642,False,609.6315199018866,False,98.0,31.341520653742545,51
56,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,112,1304.8592135950698,False,38.37405213659071,True,14.0,29.038630676503416,56
58,"v3_green_suppressed,v5_edge_magnitude,v8_lab_logchroma_fused,v9_canny_structure",50,50,108,1302.7271121944514,False,68.5429576945674,False,56.0,39.62460037553323,58
