sequence_frame_id,sequence,image_path,image_path_relative,filename,token0_id,token1_order,lon,lat,parse_status,frame_index_in_sequence,global_frame_index,utm_x_m,utm_y_m,x_enu_global_m,y_enu_global_m,x_enu_m,y_enu_m,image_path_resolved,is_uniform,is_existing73,is_relative_risk,risk_reason,query_index,query_source
0,traj01,data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,UAV Data/traj01/1@0@112.816130@28.297316.png,1@0@112.816130@28.297316.png,1,0,112.81613,28.297316,ok,0,0,678090.5113665415,3131476.591275567,0.0,0.0,0.0,0.0,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,True,True,False,,0,"uniform,benchmark73"
5,traj01,data/raw/satloc/part_1/UAV Data/traj01/6@5004@112.816123@28.297415.png,UAV Data/traj01/6@5004@112.816123@28.297415.png,6@5004@112.816123@28.297415.png,6,5004,112.816123,28.297415,ok,5,5,678089.6599203008,3131487.5512248594,-0.8514462406747043,10.959949292242529,-0.8514462406747043,10.959949292242529,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/6@5004@112.816123@28.297415.png,True,False,False,,1,uniform
10,traj01,data/raw/satloc/part_1/UAV Data/traj01/11@10009@112.816112@28.297802.png,UAV Data/traj01/11@10009@112.816112@28.297802.png,11@10009@112.816112@28.297802.png,11,10009,112.816112,28.297802,ok,10,10,678087.9364627928,3131530.418788112,-2.57490374869667,53.82751254457981,-2.57490374869667,53.82751254457981,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/11@10009@112.816112@28.297802.png,True,False,False,,2,uniform
15,traj01,data/raw/satloc/part_1/UAV Data/traj01/16@15014@112.816116@28.298266.png,UAV Data/traj01/16@15014@112.816116@28.298266.png,16@15014@112.816116@28.298266.png,16,15014,112.816116,28.298266,ok,15,15,678087.5559174885,3131581.840899448,-2.955449052969925,105.24962388072164,-2.955449052969925,105.24962388072164,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/16@15014@112.816116@28.298266.png,True,False,False,,3,uniform
20,traj01,data/raw/satloc/part_1/UAV Data/traj01/21@20018@112.816154@28.298764.png,UAV Data/traj01/21@20018@112.816154@28.298764.png,21@20018@112.816154@28.298764.png,21,20018,112.816154,28.298764,ok,20,20,678090.4533528761,3131637.0807077982,-0.0580136653734371,160.48943223105744,-0.0580136653734371,160.48943223105744,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/21@20018@112.816154@28.298764.png,True,False,False,,4,uniform
25,traj01,data/raw/satloc/part_1/UAV Data/traj01/26@25023@112.816233@28.299291.png,UAV Data/traj01/26@25023@112.816233@28.299291.png,26@25023@112.816233@28.299291.png,26,25023,112.816233,28.299291,ok,25,25,678097.323583076,3131695.594485465,6.8122165345121175,219.00320989824831,6.8122165345121175,219.00320989824831,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/26@25023@112.816233@28.299291.png,True,False,False,,5,uniform
30,traj01,data/raw/satloc/part_1/UAV Data/traj01/31@30028@112.816340@28.299790.png,UAV Data/traj01/31@30028@112.816340@28.299790.png,31@30028@112.816340@28.299790.png,31,30028,112.81634,28.29979,ok,30,30,678106.9865065421,3131751.046857052,16.475140000577085,274.4555814843625,16.475140000577085,274.4555814843625,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/31@30028@112.816340@28.299790.png,True,False,False,,6,uniform
35,traj01,data/raw/satloc/part_1/UAV Data/traj01/36@35033@112.816364@28.300320.png,UAV Data/traj01/36@35033@112.816364@28.300320.png,36@35033@112.816364@28.300320.png,36,35033,112.816364,28.30032,ok,35,35,678108.4573705695,3131809.811992834,17.94600402796641,333.22071726666763,17.94600402796641,333.22071726666763,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/36@35033@112.816364@28.300320.png,True,False,False,,7,uniform
39,traj01,data/raw/satloc/part_1/UAV Data/traj01/40@39036@112.816366@28.300753.png,UAV Data/traj01/40@39036@112.816366@28.300753.png,40@39036@112.816366@28.300753.png,40,39036,112.816366,28.300753,ok,39,39,678107.9321410034,3131857.7960407618,17.420774461934343,381.2047651945613,17.420774461934343,381.2047651945613,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/40@39036@112.816366@28.300753.png,False,True,False,,8,benchmark73
40,traj01,data/raw/satloc/part_1/UAV Data/traj01/41@40037@112.816367@28.300861.png,UAV Data/traj01/41@40037@112.816367@28.300861.png,41@40037@112.816367@28.300861.png,41,40037,112.816367,28.300861,ok,40,40,678107.8502859849,3131869.7650877424,17.338919443427585,393.1738121751696,17.338919443427585,393.1738121751696,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/41@40037@112.816367@28.300861.png,True,False,False,,9,uniform
45,traj01,data/raw/satloc/part_1/UAV Data/traj01/46@45042@112.816366@28.301430.png,UAV Data/traj01/46@45042@112.816366@28.301430.png,46@45042@112.816366@28.301430.png,46,45042,112.816366,28.30143,ok,45,45,678106.8042333573,3131932.8149929764,16.292866815812886,456.22371740918607,16.292866815812886,456.22371740918607,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/46@45042@112.816366@28.301430.png,True,False,False,,10,uniform
49,traj01,data/raw/satloc/part_1/UAV Data/traj01/50@49046@112.816363@28.301883.png,UAV Data/traj01/50@49046@112.816363@28.301883.png,50@49046@112.816363@28.301883.png,50,49046,112.816363,28.301883,ok,49,49,678105.7552809163,3131983.007892542,15.243914374848828,506.41661697486416,15.243914374848828,506.41661697486416,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/50@49046@112.816363@28.301883.png,False,True,False,,11,benchmark73
50,traj01,data/raw/satloc/part_1/UAV Data/traj01/51@50047@112.816362@28.301997.png,UAV Data/traj01/51@50047@112.816362@28.301997.png,51@50047@112.816362@28.301997.png,51,50047,112.816362,28.301997,ok,50,50,678105.4672733039,3131995.6388573973,14.95590676239226,519.047581830062,14.95590676239226,519.047581830062,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/51@50047@112.816362@28.301997.png,True,False,False,,12,uniform
55,traj01,data/raw/satloc/part_1/UAV Data/traj01/56@55051@112.816354@28.302561.png,UAV Data/traj01/56@55051@112.816354@28.302561.png,56@55051@112.816354@28.302561.png,56,55051,112.816354,28.302561,ok,55,55,678103.7430029387,3132058.1243953304,13.231636397191323,581.5331197632477,13.231636397191323,581.5331197632477,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/56@55051@112.816354@28.302561.png,True,False,False,,13,uniform
