policy,tokens,hits,hit_rate,median_error_m,oracle_processed_hits,oracle_processed_hit_rate,median_oracle_error_m,median_oracle_lg_rank,s5c2_chunk
lightglue_only,50,15,0.3,68.97473689127045,21,0.42,53.73355865621281,3.0,chunk00
lightglue_plus_union_prior,50,15,0.3,69.99078442647078,21,0.42,53.73355865621281,3.0,chunk00
union_rank_only,50,4,0.08,1243.9623592402086,21,0.42,53.73355865621281,3.0,chunk00
lightglue_only,50,15,0.3,829.9207214647379,19,0.38,220.58160185722411,14.5,chunk01
lightglue_plus_union_prior,50,13,0.26,799.5640871702965,19,0.38,220.58160185722411,14.5,chunk01
union_rank_only,50,4,0.08,1139.0059872144998,19,0.38,220.58160185722411,14.5,chunk01
lightglue_only,50,8,0.16,662.3471111921897,14,0.28,183.3706599436616,10.5,chunk02
lightglue_plus_union_prior,50,8,0.16,719.3103552764869,14,0.28,183.3706599436616,10.5,chunk02
union_rank_only,50,1,0.02,1737.3259674753858,14,0.28,183.3706599436616,10.5,chunk02
lightglue_only,50,15,0.3,305.5052423053602,21,0.42,85.6147818261523,7.5,chunk03
lightglue_plus_union_prior,50,15,0.3,349.77381558458654,21,0.42,85.6147818261523,7.5,chunk03
union_rank_only,50,1,0.02,1302.768012308168,21,0.42,85.6147818261523,7.5,chunk03
lightglue_plus_union_prior,50,14,0.28,86.4458459848928,22,0.44,51.806136237861125,3.5,chunk04
lightglue_only,50,12,0.24,88.1402183739153,22,0.44,51.806136237861125,3.5,chunk04
union_rank_only,50,6,0.12,469.69602056729593,22,0.44,51.806136237861125,3.5,chunk04
lightglue_only,13,3,0.2307692307692307,377.6694258518582,5,0.3846153846153846,68.25559491425004,3.0,chunk05
lightglue_plus_union_prior,13,3,0.2307692307692307,421.47301108214026,5,0.3846153846153846,68.25559491425004,3.0,chunk05
union_rank_only,13,0,0.0,1071.9084544081295,5,0.3846153846153846,68.25559491425004,3.0,chunk05
