policy,token,processed_candidates,chosen_tile_id,chosen_error_m,hit_le_threshold,chosen_union_rank,chosen_lightglue_rank,chosen_hybrid_rank,chosen_lg_score,chosen_hybrid_score,chosen_inliers,chosen_matches,chosen_min_coverage,union_top1_error_m,union_top1_hit_le_threshold,oracle_processed_error_m,oracle_processed_hit_le_threshold,oracle_lightglue_rank,oracle_hybrid_rank,oracle_union_rank,oracle_tile_id,s5c2_chunk,hit_eval_only,chosen_error_m_eval_only,dangerous_false_eval_only,lg_score,lg_inliers,lg_matches,min_coverage,chosen_lg_rank,top1_lg_score,top2_lg_score,lg_score_margin_top1_top2,lg_score_ratio_top1_top2
lightglue_only,1,50,3546,30.989288717602594,True,20.0,1.0,1.0,99.62016129032256,103.96180207682244,75.0,465.0,0.5625,15.072437260721763,True,15.072437260721763,True,2.0,2.0,1.0,3545,chunk00,True,30.989288717602594,False,99.62016129032256,75.0,465.0,0.5625,1.0,99.62016129032256,84.89274826789838,14.727413022424173,1.1734825803488946
lightglue_only,6,50,3545,25.173257925336667,True,1.0,1.0,1.0,90.9976126126126,102.9976126126126,68.0,444.0,0.4375,25.173257925336667,True,25.173257925336667,True,1.0,1.0,1.0,3545,chunk00,True,25.173257925336667,False,90.9976126126126,68.0,444.0,0.4375,1.0,90.9976126126126,88.48672839506173,2.510884217550867,1.0283758283653641
lightglue_only,11,50,3419,51.61635866557166,False,38.0,1.0,1.0,93.8040291262136,97.77735765299816,72.0,412.0,0.4375,786.0766109262555,False,32.90649485062182,True,2.0,2.0,30.0,3420,chunk00,False,51.61635866557166,False,93.8040291262136,72.0,412.0,0.4375,1.0,93.8040291262136,75.57157894736842,18.232450178845184,1.2412606754126854
lightglue_only,16,50,3418,112.94767658882404,False,24.0,1.0,4.0,13.999606741573034,18.22435161296462,7.0,89.0,0.1875,796.9439481997352,False,112.94767658882404,False,1.0,4.0,24.0,3418,chunk00,False,112.94767658882404,True,13.999606741573034,7.0,89.0,0.1875,1.0,13.999606741573034,13.215,0.7846067415730342,1.0593724359873655
lightglue_only,21,50,4035,476.54532383922754,False,31.0,1.0,5.0,15.68061403508772,19.75824584724837,7.0,114.0,0.3125,857.9458375932353,False,191.49474629961097,False,22.0,4.0,4.0,3543,chunk00,False,476.54532383922754,True,15.68061403508772,7.0,114.0,0.3125,1.0,15.68061403508772,13.478064516129033,2.202549518958687,1.1634173449995675
lightglue_only,26,50,2797,57.76602046597103,False,33.0,1.0,15.0,14.496463414634148,18.540929350368337,7.0,82.0,0.3125,1137.074885383116,False,21.222233130034205,True,6.0,28.0,41.0,2671,chunk00,False,57.76602046597103,False,14.496463414634148,7.0,82.0,0.3125,1.0,14.496463414634148,13.564242424242424,0.9322209903917233,1.068726358703648
lightglue_only,31,50,2547,43.27840235374737,False,6.0,1.0,1.0,101.82875,110.27823974278316,81.0,384.0,0.4375,120.46654044637393,False,11.743486859912798,True,2.0,2.0,2.0,2546,chunk00,False,43.27840235374737,False,101.82875,81.0,384.0,0.4375,1.0,101.82875,87.40107594936708,14.427674050632916,1.165074329965813
lightglue_only,36,50,2296,5.3505473202788245,True,17.0,1.0,2.0,125.18169811320756,132.63691186342558,103.0,424.0,0.375,51.90947933848808,False,5.3505473202788245,True,1.0,2.0,17.0,2296,chunk00,True,5.3505473202788245,False,125.18169811320756,103.0,424.0,0.375,1.0,125.18169811320756,124.11917218543049,1.0625259277770738,1.0085605302474117
lightglue_only,40,50,2296,46.61974299657225,False,23.0,1.0,1.0,142.13380952380953,147.88489600815197,116.0,525.0,0.375,61.07991040825948,False,12.433470076196253,True,3.0,3.0,7.0,2171,chunk00,False,46.61974299657225,False,142.13380952380953,116.0,525.0,0.375,1.0,142.13380952380953,118.25349094567405,23.880318578135487,1.2019417641472094
lightglue_only,41,50,2297,70.57505276496806,False,1.0,1.0,1.0,130.96063829787232,142.96063829787232,107.0,470.0,0.375,70.57505276496806,False,23.93413529514438,True,2.0,2.0,5.0,2171,chunk00,False,70.57505276496806,False,130.96063829787232,107.0,470.0,0.375,1.0,130.96063829787232,116.62156862745098,14.339069670421338,1.122953839835817
lightglue_only,46,50,1921,17.573676838494016,True,6.0,1.0,1.0,77.62217002237136,86.07165976515454,55.0,447.0,0.375,1220.3391122683208,False,17.573676838494016,True,1.0,1.0,6.0,1921,chunk00,True,17.573676838494016,False,77.62217002237136,55.0,447.0,0.375,1.0,77.62217002237136,13.1225,64.49967002237136,5.91519680109517
lightglue_only,50,50,1796,32.750780158481554,True,38.0,1.0,1.0,38.10341004184101,42.07673856862559,25.0,239.0,0.1875,2383.259702865441,False,32.750780158481554,True,1.0,1.0,38.0,1796,chunk00,True,32.750780158481554,False,38.10341004184101,25.0,239.0,0.1875,1.0,38.10341004184101,14.725,23.378410041841008,2.5876679145562655
lightglue_only,51,50,5996,2883.916513927181,False,42.0,1.0,10.0,14.870882352941177,18.796702452713724,9.0,51.0,0.1875,2323.309947476642,False,609.6315199018866,False,10.0,20.0,18.0,2063,chunk00,False,2883.916513927181,True,14.870882352941177,9.0,51.0,0.1875,1.0,14.870882352941177,14.447692307692307,0.4231900452488695,1.0292911861795087
lightglue_only,56,50,1546,38.37405213659071,True,14.0,1.0,1.0,81.62142857142857,87.72499602290311,60.0,420.0,0.375,1304.8592135950698,False,38.37405213659071,True,1.0,1.0,14.0,1546,chunk00,True,38.37405213659071,False,81.62142857142857,60.0,420.0,0.375,1.0,81.62142857142857,75.21847826086957,6.402950310558992,1.0851246988586043
lightglue_only,58,50,1545,68.5429576945674,False,35.0,1.0,1.0,62.19252427184466,66.20670937751888,45.0,309.0,0.375,1302.7271121944514,False,68.5429576945674,False,1.0,1.0,35.0,1545,chunk00,False,68.5429576945674,False,62.19252427184466,45.0,309.0,0.375,1.0,62.19252427184466,13.336666666666666,48.855857605177995,4.663273502012847
lightglue_only,60,50,1297,44.55530867620633,False,12.0,1.0,1.0,83.87510703363914,90.10715784120802,65.0,327.0,0.5,2001.9312138964376,False,44.55530867620633,False,1.0,1.0,12.0,1297,chunk00,False,44.55530867620633,False,83.87510703363914,65.0,327.0,0.5,1.0,83.87510703363914,28.836184971098263,55.03892206254088,2.9086755795783983
lightglue_only,61,50,1297,50.5003859047478,False,16.0,1.0,1.0,77.64931372549019,83.64931372549019,60.0,306.0,0.4375,2766.812346947861,False,50.5003859047478,False,1.0,1.0,16.0,1297,chunk00,False,50.5003859047478,False,77.64931372549019,60.0,306.0,0.4375,1.0,77.64931372549019,13.81586956521739,63.8334441602728,5.620298697736612
lightglue_only,66,50,8366,3190.930853963911,False,48.0,1.0,19.0,13.683333333333334,16.04935873711777,8.0,60.0,0.125,2021.3329903035085,False,229.42937681725,False,19.0,29.0,43.0,1795,chunk00,False,3190.930853963911,True,13.683333333333334,8.0,60.0,0.125,1.0,13.683333333333334,12.846666666666666,0.8366666666666678,1.0651271406331086
lightglue_only,67,50,1062,566.2516959260395,False,42.0,1.0,13.0,14.00429906542056,17.930119165193112,6.0,107.0,0.25,847.2239801481543,False,51.45856767862398,False,44.0,40.0,22.0,1047,chunk00,False,566.2516959260395,True,14.00429906542056,6.0,107.0,0.25,1.0,14.00429906542056,13.399016393442622,0.6052826719779372,1.0451736645590013
lightglue_only,71,50,1469,1692.522695432184,False,17.0,1.0,2.0,17.370588235294118,23.325801985512115,10.0,85.0,0.25,1544.7968294820837,False,133.88670830304892,False,31.0,38.0,44.0,295,chunk00,False,1692.522695432184,True,17.370588235294118,10.0,85.0,0.25,1.0,17.370588235294118,13.908421052631578,3.46216718266254,1.2489259686316063
lightglue_only,74,50,3188,927.141715094596,False,10.0,1.0,6.0,14.538347107438016,20.93571370353904,6.0,121.0,0.25,1298.765472026796,False,328.2764408317118,False,9.0,11.0,12.0,1794,chunk00,False,927.141715094596,True,14.538347107438016,6.0,121.0,0.25,1.0,14.538347107438016,14.484347826086957,0.053999281351059025,1.0037281127186
lightglue_only,76,50,3079,1350.405237918493,False,23.0,1.0,1.0,16.892804878048782,22.64389136239123,10.0,82.0,0.1875,1298.9778352303483,False,916.9496863847338,False,7.0,10.0,17.0,3063,chunk00,False,1350.405237918493,True,16.892804878048782,10.0,82.0,0.1875,1.0,16.892804878048782,15.816666666666666,1.0761382113821156,1.0680382430800073
lightglue_only,79,50,545,34.39601604526073,True,32.0,1.0,1.0,77.85352112676057,81.91418129854038,58.0,355.0,0.5,1298.6943295305837,False,34.39601604526073,True,1.0,1.0,32.0,545,chunk00,True,34.39601604526073,False,77.85352112676057,58.0,355.0,0.5,1.0,77.85352112676057,17.77,60.08352112676057,4.381177328461484
lightglue_only,81,50,545,33.224451813680055,True,31.0,1.0,1.0,75.15646892655367,79.23410073871432,55.0,354.0,0.5625,2377.9091337034247,False,33.224451813680055,True,1.0,1.0,31.0,545,chunk00,True,33.224451813680055,False,75.15646892655367,55.0,354.0,0.5625,1.0,75.15646892655367,20.881666666666668,54.274802259887004,3.5991604562161545
lightglue_only,86,50,3062,940.8020449472328,False,43.0,1.0,11.0,13.89031914893617,17.8053105709318,6.0,94.0,0.3125,900.5044479268593,False,353.90878423764065,False,11.0,12.0,18.0,1550,chunk00,False,940.8020449472328,True,13.89031914893617,6.0,94.0,0.3125,1.0,13.89031914893617,13.777936507936507,0.11238264099966244,1.0081567106173648
lightglue_only,90,50,4578,1662.6717305406512,False,12.0,1.0,2.0,15.55,21.78205080756888,10.0,50.0,0.125,2782.033614942796,False,360.51618277749424,False,13.0,14.0,10.0,1549,chunk00,False,1662.6717305406512,True,15.55,10.0,50.0,0.125,1.0,15.55,13.55351851851852,1.9964814814814815,1.1473035565453824
lightglue_only,91,50,582,1363.6511006376036,False,16.0,1.0,5.0,15.406739130434785,19.906739130434783,9.0,69.0,0.1875,367.3152037665876,False,339.3618700034074,False,5.0,19.0,41.0,1424,chunk00,False,1363.6511006376036,True,15.406739130434785,9.0,69.0,0.1875,1.0,15.406739130434785,14.92424528301887,0.48249384741591506,1.03232953079141
lightglue_only,96,50,6577,2106.9965808048432,False,29.0,1.0,13.0,13.302758620689657,17.416930649751965,7.0,58.0,0.25,1689.8586313449596,False,237.2201546584353,False,8.0,30.0,41.0,423,chunk00,False,2106.9965808048432,True,13.302758620689657,7.0,58.0,0.25,1.0,13.302758620689657,13.17851851851852,0.12424010217113768,1.0094274710770073
lightglue_only,100,50,541,45.58389044898862,False,1.0,1.0,1.0,113.76735294117648,125.76735294117648,86.0,544.0,0.5625,45.58389044898862,False,45.58389044898862,False,1.0,1.0,1.0,541,chunk00,False,45.58389044898862,False,113.76735294117648,86.0,544.0,0.5625,1.0,113.76735294117648,14.668659793814433,99.09869314736206,7.755810997072178
lightglue_only,101,50,540,26.85274048842789,True,42.0,1.0,1.0,229.76953781512609,233.6953579148986,200.0,595.0,0.4375,2674.082255606318,False,26.85274048842789,True,1.0,1.0,42.0,540,chunk00,True,26.85274048842789,False,229.76953781512609,200.0,595.0,0.4375,1.0,229.76953781512609,101.06207581227436,128.70746200285174,2.273548568722549
lightglue_only,106,50,2088,1808.0552685844543,False,33.0,1.0,17.0,12.40095238095238,16.445418316686567,6.0,63.0,0.25,1727.8515078805622,False,555.4781891432476,False,3.0,25.0,36.0,1053,chunk00,False,1808.0552685844543,True,12.40095238095238,6.0,63.0,0.25,1.0,12.40095238095238,12.104444444444445,0.2965079365079344,1.0244957906055756
lightglue_only,107,50,4424,1173.0357639276,False,46.0,1.0,22.0,13.06586956521739,15.450521302146774,6.0,92.0,0.1875,1735.5748080846208,False,566.9059263060645,False,18.0,25.0,26.0,1053,chunk00,False,1173.0357639276,True,13.06586956521739,6.0,92.0,0.1875,1.0,13.06586956521739,12.46923076923077,0.5966387959866211,1.0478488855510553
lightglue_only,111,50,537,37.855949002529584,True,50.0,1.0,1.0,43.499925373134325,45.84845351055818,34.0,134.0,0.1875,1299.139834528015,False,37.855949002529584,True,1.0,1.0,50.0,537,chunk00,True,37.855949002529584,False,43.499925373134325,34.0,134.0,0.1875,1.0,43.499925373134325,12.678028169014084,30.82189720412024,3.431127048561932
lightglue_only,116,50,3516,1068.639190185961,False,23.0,1.0,9.0,14.146075268817205,18.39716175315965,7.0,93.0,0.1875,1240.91268110364,False,194.04822427527995,False,8.0,42.0,46.0,654,chunk00,False,1068.639190185961,True,14.146075268817205,7.0,93.0,0.1875,1.0,14.146075268817205,13.768888888888888,0.3771863799283164,1.0273941044170016
lightglue_only,117,50,6734,3136.850623648378,False,47.0,1.0,33.0,12.503636363636364,14.878826312623731,6.0,66.0,0.25,1247.0120373767772,False,160.9416935033749,False,41.0,45.0,38.0,906,chunk00,False,3136.850623648378,True,12.503636363636364,6.0,66.0,0.25,1.0,12.503636363636364,12.367096774193548,0.1365395894428154,1.0110405531658597
lightglue_only,121,50,4026,1021.3399674401404,False,14.0,1.0,3.0,14.49318181818182,20.596749269656364,6.0,110.0,0.3125,1287.6875838131468,False,126.62975907796915,False,50.0,50.0,43.0,780,chunk00,False,1021.3399674401404,True,14.49318181818182,6.0,110.0,0.3125,1.0,14.49318181818182,13.55263157894737,0.9405502392344509,1.0693998234774935
lightglue_only,126,50,404,69.40651608797349,False,25.0,1.0,1.0,58.73374493927125,62.93374493927126,45.0,247.0,0.1875,1325.5126880668324,False,60.48177281447165,False,26.0,45.0,46.0,655,chunk00,False,69.40651608797349,False,58.73374493927125,45.0,247.0,0.1875,1.0,58.73374493927125,38.756470588235295,19.977274351035952,1.5154564914664894
lightglue_only,129,50,529,34.942808561132146,True,14.0,1.0,1.0,85.81377358490568,91.91734103638022,64.0,424.0,0.375,114.1707940176092,False,34.942808561132146,True,1.0,1.0,14.0,529,chunk00,True,34.942808561132146,False,85.81377358490568,64.0,424.0,0.375,1.0,85.81377358490568,78.67488668555241,7.138886899353267,1.0907390807931627
lightglue_only,131,50,528,45.47030563022309,False,13.0,1.0,1.0,86.12156565656566,93.78566624524136,65.0,396.0,0.4375,90.02678661403877,False,17.713301616081825,True,2.0,2.0,6.0,529,chunk00,False,45.47030563022309,False,86.12156565656566,65.0,396.0,0.4375,1.0,86.12156565656566,85.12222222222223,0.9993434343434302,1.0117401003904072
lightglue_only,136,50,528,19.217471287595927,True,2.0,1.0,1.0,51.96428571428572,62.206926401405,36.0,280.0,0.375,30.5811509287532,True,19.217471287595927,True,1.0,1.0,2.0,528,chunk00,True,19.217471287595927,False,51.96428571428572,36.0,280.0,0.375,1.0,51.96428571428572,49.67006329113924,2.294222423146479,1.0461892389727587
lightglue_only,139,50,527,19.47232333343605,True,8.0,1.0,1.0,34.959210526315786,43.08053086987543,23.0,190.0,0.3125,266.20264517644387,False,19.47232333343605,True,1.0,1.0,8.0,527,chunk00,True,19.47232333343605,False,34.959210526315786,23.0,190.0,0.3125,1.0,34.959210526315786,25.669,9.290210526315786,1.361923352149121
lightglue_only,141,50,527,38.8316831393422,True,5.0,1.0,1.0,39.01923076923077,47.70251234223051,24.0,260.0,0.375,162.08906355937162,False,19.63179225203028,True,4.0,4.0,16.0,401,chunk00,True,38.8316831393422,False,39.01923076923077,24.0,260.0,0.375,1.0,39.01923076923077,25.108853211009173,13.910377558221594,1.5540029025348907
lightglue_only,146,50,526,56.00854963380164,False,12.0,1.0,1.0,19.22432584269663,26.956376650265508,12.0,89.0,0.1875,172.26869810260268,False,56.00854963380164,False,1.0,1.0,12.0,526,chunk00,False,56.00854963380164,False,19.22432584269663,12.0,89.0,0.1875,1.0,19.22432584269663,16.852619047619047,2.371706795077582,1.1407322380204552
lightglue_only,151,50,5186,1834.4384592123,False,35.0,1.0,9.0,14.78,18.79418510567422,7.0,100.0,0.25,1835.269079116236,False,69.92626961209041,False,20.0,45.0,44.0,274,chunk00,False,1834.4384592123,True,14.78,7.0,100.0,0.25,1.0,14.78,13.667222222222222,1.1127777777777776,1.0814194544937197
lightglue_only,156,50,4787,1235.0217437010758,False,40.0,1.0,11.0,13.81586956521739,17.764552863267905,6.0,92.0,0.3125,1164.0793210001398,False,157.49087394266832,False,50.0,50.0,49.0,150,chunk00,False,1235.0217437010758,True,13.81586956521739,6.0,92.0,0.3125,1.0,13.81586956521739,13.630862068965518,0.18500749625187218,1.0135726922710995
lightglue_only,161,50,5187,1795.6453933620166,False,8.0,1.0,3.0,12.33344262295082,20.45476296651046,6.0,61.0,0.25,1868.372477928893,False,797.6867457884596,False,24.0,22.0,23.0,3515,chunk00,False,1795.6453933620166,True,12.33344262295082,6.0,61.0,0.25,1.0,12.33344262295082,12.136363636363637,0.19707898658718292,1.0162387179959476
