policy,base_gate,support_source,residual_threshold_m,minimum_support,accepted,true_accepts_eval_only,false_accepts_eval_only,dangerous_false_accepts_gt100m_eval_only,precision_eval_only,median_accepted_error_m_eval_only,first_accepted_frame,last_accepted_frame,inter_event_gap_median,inter_event_gap_p95,inter_event_gap_max,coverage_gap_including_boundaries_max_m
balanced_accept_online_base,balanced_accept_online,none,,0,33,25,8,0,0.7575757575757576,30.989288717602594,0,1005,60.396282700639404,1015.7197036712836,3016.2109948242523,3016.2109948242523
balanced_accept_online_any_previous_query_r20_support1,balanced_accept_online,any_previous_query,20.0,1,16,13,3,0,0.8125,30.198645901241868,0,760,110.16483283288562,2203.7144496849414,3028.0707413285054,3037.479090956187
balanced_accept_online_any_previous_query_r20_support2,balanced_accept_online,any_previous_query,20.0,2,8,8,0,0,1.0,25.587655271045644,0,515,18.065551800320918,2985.200950257669,3433.8124677201367,5298.329012281361
balanced_accept_online_previous_permissive_query_r20_support1,balanced_accept_online,previous_permissive_query,20.0,1,14,11,3,0,0.7857142857142857,30.198645901241868,0,760,110.16483283288562,2520.96809883898,3076.3926143590206,3076.3926143590206
balanced_accept_online_previous_permissive_query_r20_support2,balanced_accept_online,previous_permissive_query,20.0,2,8,8,0,0,1.0,25.587655271045644,0,515,18.065551800320918,2985.200950257669,3433.8124677201367,5298.329012281361
balanced_accept_online_any_previous_query_r40_support1,balanced_accept_online,any_previous_query,40.0,1,19,16,3,0,0.8421052631578947,29.408003084881145,0,845,79.24335293170043,1988.083533115709,3028.0707413285054,3028.0707413285054
balanced_accept_online_any_previous_query_r40_support2,balanced_accept_online,any_previous_query,40.0,2,10,9,1,0,0.9,28.1890943687958,0,760,40.56798246782455,2750.175537145482,3076.3926143590206,3076.3926143590206
balanced_accept_online_previous_permissive_query_r40_support1,balanced_accept_online,previous_permissive_query,40.0,1,16,13,3,0,0.8125,28.1890943687958,0,760,40.56798246782455,2396.2935840735686,3076.3926143590206,3076.3926143590206
balanced_accept_online_previous_permissive_query_r40_support2,balanced_accept_online,previous_permissive_query,40.0,2,9,9,0,0,1.0,26.97018565271046,0,760,29.316767134072734,3023.2755764818994,3433.8124677201367,3433.8124677201367
balanced_accept_online_any_previous_query_r60_support1,balanced_accept_online,any_previous_query,60.0,1,24,20,4,0,0.8333333333333334,30.278827059216965,0,900,57.76399387380843,1081.4823454484933,3028.0707413285054,3028.0707413285054
