policy,policy_type,frames,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,final_drift_per_100m,failure_rate_gt40m,failure_rate_gt80m,frames_within_20m_rate,frames_within_40m_rate,frames_within_80m_rate,first_crossing_gt10m_distance_m,first_crossing_gt20m_distance_m,first_crossing_gt40m_distance_m,first_crossing_gt80m_distance_m,events,initializations,relocalizations,true_events_eval_only,false_events_eval_only,dangerous_false_events_gt100m_eval_only,events_improving_error,events_worsening_error,median_error_improvement_m,median_true_event_improvement_m_eval_only,median_false_event_improvement_m_eval_only,maximum_false_event_worsening_m_eval_only,accepted,precision_eval_only,mean_relocalization_alpha,median_absolute_innovation_m,median_position_shift_applied_m,coverage_gap_including_boundaries_max_m,mode,uniform_alpha,balanced_alpha,temporal_alpha,maximum_fix_error_consistency_delta_m,rmse_m_delta_vs_relative,rmse_m_relative_change_fraction,mean_error_m_delta_vs_relative,mean_error_m_relative_change_fraction,median_error_m_delta_vs_relative,median_error_m_relative_change_fraction,p95_error_m_delta_vs_relative,p95_error_m_relative_change_fraction,max_error_m_delta_vs_relative,max_error_m_relative_change_fraction,final_error_m_delta_vs_relative,final_error_m_relative_change_fraction,final_drift_per_100m_delta_vs_relative,final_drift_per_100m_relative_change_fraction,failure_rate_gt40m_delta_vs_relative,failure_rate_gt40m_relative_change_fraction
relative_only,relative_baseline,1034,224.66788304314616,187.44598149818913,175.3715781593059,410.88525882122366,450.89263444643063,252.5195903458014,2.344958692477288,0.8733075435203095,0.7804642166344294,0.11218568665377177,0.12669245647969052,0.21953578336557059,808.2167057980673,1257.635994026625,1435.072517395506,2161.173444317267,0,0,0,0,0,0,0,0,,,,,0,,,,,,none,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_hard_reset_online,balanced_hard_reset,1034,84.5593339598052,69.43006630085203,51.40605766856843,171.54565722950204,222.48449635743995,44.06951366501606,0.40924028508247695,0.6460348162475822,0.3152804642166344,0.043520309477756286,0.3539651837524178,0.6847195357833655,0.0,0.0,632.3370364741726,2617.315098755776,33,1,32,25,8,0,23,10,6.844227028558308,8.704308538996827,-1.6237757531419525,13.18127016162024,33,0.7575757575757576,1.0,32.35635617079111,32.35635617079111,3016.2109948242523,hard,1.0,1.0,,0.12315013251034657,-140.10854908334096,-0.6236251803575944,-118.0159151973371,-0.6295996011975173,-123.96552049073748,-0.706873495647786,-239.33960159172162,-0.582497416135969,-228.40813808899068,-0.5065687940753604,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2272727272727273,-0.2602436323366556
permissive_hard_reset_online,permissive_hard_reset,1034,71.21718551448251,59.04510507891288,45.648878276129196,146.6190155741101,212.64878821253183,26.659674935158808,0.24756826348486502,0.6092843326885881,0.218568665377176,0.0609284332688588,0.390715667311412,0.781431334622824,0.0,0.0,54.64278341865671,4441.0008981477895,80,1,79,52,28,1,49,31,5.878652586271459,12.3213457436993,-5.948457104410558,63.19627840155629,80,0.65,1.0,39.33370415172584,39.33370415172584,976.46380744112,hard,1.0,,,0.20183673648882916,-153.45069752866365,-0.683011276245454,-128.40087641927624,-0.6850020224120766,-129.7226998831767,-0.7397019588050796,-264.26624324711355,-0.6431631156719008,-238.2438462338988,-0.5283826526161716,-225.85991541064257,-0.8944253200369486,-2.0973904289924232,-0.8944253200369487,-0.2640232108317214,-0.30232558139534876
hybrid_r40_hard_reset_online,hybrid_r40_hard_reset,1034,73.70461941041218,60.25980275813433,46.47421206710411,158.04325120124537,220.2964300521376,44.06951366501608,0.4092402850824771,0.5957446808510638,0.2127659574468085,0.06673114119922631,0.40425531914893614,0.7872340425531915,0.0,0.0,54.64278341865671,4302.777701748621,61,1,60,45,16,0,37,24,3.0405811386075925,8.704308538996827,-5.599470760064726,29.14903989554037,61,0.7377049180327869,1.0,35.94453762406986,35.94453762406986,2459.3095103310757,hard,1.0,1.0,1.0,0.12327710872414599,-150.96326363273397,-0.6719396719634482,-127.1861787400548,-0.6785217678367969,-128.8973660922018,-0.7349957584068305,-252.8420076199783,-0.6153591597453486,-230.59620439429304,-0.511421537584885,-208.45007668078532,-0.8254808127770716,-1.9357184073948108,-0.8254808127770716,-0.2775628626692457,-0.3178294573643411
hybrid_r60_hard_reset_online,hybrid_r60_hard_reset,1034,71.94588085671022,58.734492503612664,45.6287500689279,146.91236638038347,218.76886899199343,44.06951366501606,0.40924028508247695,0.5812379110251451,0.20696324951644102,0.07736943907156674,0.41876208897485495,0.793036750483559,0.0,0.0,54.64278341865671,4441.0008981477895,72,1,71,50,22,0,43,29,4.3828316399228395,9.491929452218061,-5.948457104410558,61.886864248653836,72,0.6944444444444444,1.0,35.98433687786705,35.98433687786705,1397.7268029193401,hard,1.0,1.0,1.0,0.1933313064592852,-152.72200218643593,-0.6797678427276878,-128.71148899457646,-0.6866591002155995,-129.742828090378,-0.7398167334305495,-263.97289244084016,-0.6424491674345876,-232.1237654544372,-0.5148093974509473,-208.45007668078534,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2920696324951644,-0.33444075304540416
hybrid_r40_uniform_a025_online,hybrid_r40_uniform_soft,1034,90.51218371070969,78.44394561211884,69.0374184334577,170.03705090906982,196.7045738172711,28.166267724464234,0.2615588527000122,0.7591876208897486,0.4274661508704062,0.045454545454545456,0.24081237911025144,0.5725338491295938,0.0,0.0,668.3558483922874,2741.996492877493,61,1,60,45,16,0,53,8,11.122338991406238,12.72004901198012,3.8701540478908125,11.906665299130015,61,0.7377049180327869,0.25,62.86925307161787,15.934785064379902,2459.3095103310757,uniform,0.25,0.25,0.25,0.12327710872414599,-134.15569933243648,-0.5971289599353756,-109.00203588607029,-0.5815117241503699,-106.3341597258482,-0.6063363336404217,-240.84820791215384,-0.586169016146055,-254.18806062915954,-0.5637440960667521,-224.35332262133716,-0.8884590788148625,-2.0833998397772757,-0.8884590788148625,-0.11411992263056092,-0.13067552602436322
hybrid_r40_uniform_a050_online,hybrid_r40_uniform_soft,1034,76.56493056621595,63.35054385950162,51.688759106113864,156.61295767120484,198.38079546146687,64.04846216908605,0.5947696885518027,0.6044487427466151,0.30174081237911027,0.09477756286266925,0.3955512572533849,0.6982591876208898,0.0,0.0,395.49859310760905,2932.124612854452,61,1,60,45,16,0,45,16,10.914124068491134,15.661595576638124,-1.4394154905147687,23.79431344864514,61,0.7377049180327869,0.5,47.771182252186364,24.08876339804172,2459.3095103310757,uniform,0.5,0.5,0.5,0.12327710872414599,-148.10295247693023,-0.6592083855995026,-124.09543763868751,-0.6620330649226874,-123.68281905319203,-0.7052614816571915,-254.27230115001882,-0.6188401644768006,-252.51183898496376,-0.5600265333563883,-188.47112817671535,-0.7463624026897169,-1.7501890039254855,-0.7463624026897168,-0.2688588007736944,-0.3078626799557032
hybrid_r40_uniform_a075_online,hybrid_r40_uniform_soft,1034,73.10638189129487,59.66151268979023,46.64959575747643,155.9276229018326,210.50784262995745,57.15501832366045,0.5307554825874312,0.5705996131528046,0.23404255319148937,0.08994197292069632,0.42940038684719534,0.7659574468085106,0.0,0.0,54.64278341865671,3088.1992309353213,61,1,60,45,16,0,39,22,5.41131556292267,7.826412369110708,-3.860896446593962,30.98281283262599,61,0.7377049180327869,0.75,36.958639792032834,27.724090613994207,2459.3095103310757,uniform,0.75,0.75,0.75,0.12327710872414599,-151.5615011518513,-0.6746024358218784,-127.7844688083989,-0.6817135677546301,-128.72198240182945,-0.7339956893408327,-254.95763591939107,-0.6205081113175764,-240.38479181647318,-0.5331308907088228,-195.36457202214095,-0.7736610524142221,-1.8142032098898568,-0.7736610524142221,-0.3027079303675049,-0.3466223698781839
hybrid_r60_uniform_a025_online,hybrid_r60_uniform_soft,1034,88.49179959951086,75.88521913731222,65.48453260328891,162.86656748278523,201.25899562318415,25.46624380581173,0.23648577005612514,0.7224371373307543,0.38878143133462284,0.03868471953578337,0.2775628626692456,0.6112185686653772,0.0,0.0,608.1767365309823,2753.7437214976344,72,1,71,50,22,0,61,11,10.44272363096574,13.212552504650652,3.3836533900723076,10.580439884022429,72,0.6944444444444444,0.25,59.579628753216355,15.185676611455566,1397.7268029193401,uniform,0.25,0.25,0.25,0.1933313064592852,-136.17608344363532,-0.6061217188639442,-111.56076236087691,-0.5951621980327952,-109.88704555601699,-0.6265955219733303,-248.01869133843843,-0.6036203198186564,-249.63363882324649,-0.5536431951915258,-227.05334653998966,-0.8991514132787157,-2.108472922421163,-0.8991514132787157,-0.15087040618955516,-0.17275747508305653
hybrid_r60_uniform_a050_online,hybrid_r60_uniform_soft,1034,74.96216690090053,62.089922215179335,49.86059840198069,147.08761603016632,201.6581041176839,63.37107592482984,0.5884793141715102,0.5841392649903289,0.3065764023210832,0.08800773694390715,0.4158607350096712,0.6934235976789168,0.0,0.0,395.49859310760905,2932.124612854452,72,1,71,50,22,0,50,22,12.435835749605955,16.073711599839644,-5.981171523057922,19.21351802262147,72,0.6944444444444444,0.5,45.740766981538656,23.719280554014738,1397.7268029193401,uniform,0.5,0.5,0.5,0.1933313064592852,-149.70571614224565,-0.6663423098774449,-125.35605928300978,-0.6687583178955523,-125.5109797573252,-0.7156859798758964,-263.79764279105734,-0.6420226501867174,-249.23453032874673,-0.5527580432417945,-189.14851442097154,-0.749044912364822,-1.756479378305778,-0.7490449123648221,-0.2891682785299806,-0.3311184939091915
