policy,policy_type,frames,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,final_drift_per_100m,failure_rate_gt40m,failure_rate_gt80m,frames_within_20m_rate,frames_within_40m_rate,frames_within_80m_rate,first_crossing_gt10m_distance_m,first_crossing_gt20m_distance_m,first_crossing_gt40m_distance_m,first_crossing_gt80m_distance_m,events,initializations,relocalizations,true_events_eval_only,false_events_eval_only,dangerous_false_events_gt100m_eval_only,events_improving_error,events_worsening_error,median_error_improvement_m,median_true_event_improvement_m_eval_only,median_false_event_improvement_m_eval_only,maximum_false_event_worsening_m_eval_only,accepted,precision_eval_only,mean_relocalization_alpha,median_absolute_innovation_m,median_position_shift_applied_m,coverage_gap_including_boundaries_max_m,mode,uniform_alpha,balanced_alpha,temporal_alpha,maximum_fix_error_consistency_delta_m,rmse_m_delta_vs_relative,rmse_m_relative_change_fraction,mean_error_m_delta_vs_relative,mean_error_m_relative_change_fraction,median_error_m_delta_vs_relative,median_error_m_relative_change_fraction,p95_error_m_delta_vs_relative,p95_error_m_relative_change_fraction,max_error_m_delta_vs_relative,max_error_m_relative_change_fraction,final_error_m_delta_vs_relative,final_error_m_relative_change_fraction,final_drift_per_100m_delta_vs_relative,final_drift_per_100m_relative_change_fraction,failure_rate_gt40m_delta_vs_relative,failure_rate_gt40m_relative_change_fraction,windows,median_window_rmse_m,p90_window_rmse_m,worst_window_rmse_m,median_window_failure_rate_gt40m,windows_better_than_hard,windows_equal_to_hard,windows_worse_than_hard,median_window_rmse_delta_vs_hard_m,maximum_window_improvement_vs_hard_m,maximum_window_worsening_vs_hard_m,robust_rank_sum,is_performance_policy,is_robust_policy
hybrid_r60_adaptive_b100_t075_online,hybrid_r60_adaptive_soft,1034,70.68841007552709,58.01626200232516,43.74413517614647,149.9415807843964,205.9480511296275,44.06951366501606,0.4092402850824769,0.5589941972920697,0.2137330754352031,0.0725338491295938,0.4410058027079304,0.7862669245647969,0.0,0.0,54.64278341865671,3088.1992309353213,72,1,71,50,22,0,45,27,6.667555213037833,9.514457679399712,-7.262725077015819,41.21958586890125,72,0.6944444444444444,0.8626760563380281,38.58734219226881,31.52199324924505,1397.72680291934,adaptive,,1.0,0.75,0.1933313064592852,-153.97947296761907,-0.6853648633794631,-129.42971949586396,-0.6904907667872002,-131.62744298315943,-0.7505631434963213,-260.94367803682724,-0.6350767578896374,-244.94458331680315,-0.5432437006151725,-208.45007668078532,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.3143133462282398,-0.3599114064230342,22,48.20552165164565,110.94918324635292,136.17347150851202,0.5303442028985507,12,2,9,-0.5005425357649784,10.326887048265291,6.3784987585261845,15.0,True,False
hybrid_r60_adaptive_b100_t050_online,hybrid_r60_adaptive_soft,1034,71.08703162474627,58.404335643976665,45.83313146708038,148.02353917254038,201.3690631144935,44.06951366501603,0.4092402850824767,0.5502901353965184,0.2408123791102514,0.0735009671179884,0.4497098646034816,0.7591876208897486,0.0,0.0,395.49859310760905,2944.3214434490646,72,1,71,50,22,0,49,23,8.103574606126447,10.66639983426507,-7.142384688642116,28.155257527545324,72,0.6944444444444444,0.7253521126760564,43.44302020986956,24.75990692698616,1397.72680291934,adaptive,,1.0,0.5,0.1933313064592852,-153.5808514183999,-0.6835905930929416,-129.04164585421245,-0.6884204442412071,-129.53844669222553,-0.7386513142657245,-262.8617196486833,-0.6397448290133342,-249.52357133193712,-0.5533990849912239,-208.45007668078532,-0.8254808127770717,-1.9357184073948115,-0.8254808127770717,-0.3230174081237911,-0.3698781838316722,22,53.66969489166436,110.03184952080214,141.1292435720931,0.54856220657277,12,2,10,-0.02703083779065807,17.6535310338152,14.222484125638736,12.0,False,True
hybrid_r60_uniform_a075_online,hybrid_r60_uniform_soft,1034,71.25924172945277,58.49610442739163,46.986917191415245,149.1703161363122,205.95486111608147,57.076019908133134,0.5300218839746303,0.5783365570599613,0.2195357833655705,0.0986460348162475,0.4216634429400386,0.7804642166344294,0.0,0.0,54.64278341865671,3088.1992309353213,72,1,71,50,22,0,44,28,4.826548462561282,8.491835340223425,-7.592685393657661,41.21017953555686,72,0.6944444444444444,0.75,36.62418137393878,28.09488695962336,1397.72680291934,uniform,0.75,0.75,0.75,0.1933313064592852,-153.4086413136934,-0.6828240834237628,-128.9498770707975,-0.6879308696838787,-128.38466096789065,-0.7320722223943679,-261.7149426849114,-0.6369538382460775,-244.9377733303492,-0.5432285972714189,-195.44357043766823,-0.7739738931542975,-1.8149368085026576,-0.7739738931542974,-0.2949709864603481,-0.3377630121816168,22,52.8544214372962,108.9337912773177,136.15939492852934,0.5942871587462083,11,0,11,0.11306537302627717,10.672541190693892,18.678469681064357,16.0,False,False
hybrid_r60_adaptive_b075_t075_online,hybrid_r60_adaptive_soft,1034,71.25924172945277,58.49610442739163,46.986917191415245,149.1703161363122,205.95486111608147,57.076019908133134,0.5300218839746303,0.5783365570599613,0.2195357833655705,0.0986460348162475,0.4216634429400386,0.7804642166344294,0.0,0.0,54.64278341865671,3088.1992309353213,72,1,71,50,22,0,44,28,4.826548462561282,8.491835340223425,-7.592685393657661,41.21017953555686,72,0.6944444444444444,0.75,36.62418137393878,28.09488695962336,1397.72680291934,adaptive,,0.75,0.75,0.1933313064592852,-153.4086413136934,-0.6828240834237628,-128.9498770707975,-0.6879308696838787,-128.38466096789065,-0.7320722223943679,-261.7149426849114,-0.6369538382460775,-244.9377733303492,-0.5432285972714189,-195.44357043766823,-0.7739738931542975,-1.8149368085026576,-0.7739738931542974,-0.2949709864603481,-0.3377630121816168,22,52.8544214372962,108.9337912773177,136.15939492852934,0.5942871587462083,11,0,11,0.11306537302627717,10.672541190693892,18.678469681064357,16.0,False,False
hybrid_r60_adaptive_b075_t050_online,hybrid_r60_adaptive_soft,1034,71.62289336351205,58.82705546807381,47.34727059080562,147.21971793797815,201.55248182046577,51.3850989404121,0.4771745996384566,0.5696324951644101,0.2485493230174081,0.1054158607350096,0.4303675048355899,0.7514506769825918,0.0,0.0,395.49859310760905,2944.3214434490646,72,1,71,50,22,0,50,22,5.289571067254608,12.709011017875742,-5.671252773275182,20.199081178382706,72,0.6944444444444444,0.6126760563380281,40.8600773758326,24.15967486381016,1397.72680291934,adaptive,,0.75,0.5,0.1933313064592852,-153.0449896796341,-0.6812054647358863,-128.61892603011532,-0.6861652888053931,-128.02430756850026,-0.7300174230752726,-263.6655408832455,-0.6417011445961036,-249.3401526259649,-0.5529922947889456,-201.1344914053893,-0.7965104455062472,-1.8677840928388316,-0.7965104455062471,-0.3036750483558994,-0.3477297895902547,22,58.661788386383,107.10562554526761,141.02791146595834,0.5769421078673924,12,0,10,-1.9001330834264003,15.69761447908428,19.566885735073257,16.0,False,False
hybrid_r60_hard_reset_online,hybrid_r60_hard_reset,1034,71.94588085671022,58.73449250361266,45.6287500689279,146.91236638038347,218.76886899199343,44.06951366501606,0.4092402850824769,0.5812379110251451,0.206963249516441,0.0773694390715667,0.4187620889748549,0.793036750483559,0.0,0.0,54.64278341865671,4441.0008981477895,72,1,71,50,22,0,43,29,4.38283163992284,9.49192945221806,-5.948457104410558,61.88686424865384,72,0.6944444444444444,1.0,35.98433687786705,35.98433687786705,1397.72680291934,hard,1.0,1.0,1.0,0.1933313064592852,-152.72200218643593,-0.6797678427276878,-128.71148899457646,-0.6866591002155995,-129.742828090378,-0.7398167334305495,-263.97289244084016,-0.6424491674345876,-232.1237654544372,-0.5148093974509473,-208.45007668078532,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2920696324951644,-0.3344407530454041,22,51.019118670086286,112.31167278744576,141.28528621051245,0.5921325051759834,0,22,0,0.0,-0.0,0.0,25.0,False,False
hybrid_r60_adaptive_b050_t075_online,hybrid_r60_adaptive_soft,1034,74.29389045395321,61.38522640304728,48.0308514576228,148.76515752489937,205.9613654029556,75.87583943488492,0.7046016072978425,0.5880077369439072,0.269825918762089,0.0957446808510638,0.4119922630560928,0.730174081237911,0.0,0.0,54.64278341865671,3088.1992309353213,72,1,71,50,22,0,45,27,6.28767736820178,15.357053839597803,-8.57214171553413,41.20157839758024,72,0.6944444444444444,0.6373239436619719,39.60549246082226,26.97108155989568,1397.72680291934,adaptive,,0.5,0.75,0.1933313064592852,-150.37399258919294,-0.669316818017618,-126.06075509514184,-0.6725177786559254,-127.3407267016831,-0.7261195231191224,-262.12010129632426,-0.63793990090643,-244.93126904347503,-0.5432141719151873,-176.64375091091648,-0.6995249385167297,-1.6403570851794456,-0.6995249385167296,-0.2852998065764023,-0.3266888150609081,22,55.224641444870855,108.53173283359862,136.15720801639773,0.6452358926919519,11,0,11,0.5528447909653416,10.729587566262097,52.59697324073419,,False,False
hybrid_r60_adaptive_b100_t025_online,hybrid_r60_adaptive_soft,1034,74.47369754618751,61.82497930861887,46.76157102583302,149.2988015439599,208.4389557037109,44.06951366501606,0.4092402850824769,0.5870406189555126,0.2620889748549323,0.0473887814313346,0.4129593810444874,0.7379110251450677,0.0,0.0,608.1767365309823,2802.618977300592,72,1,71,50,22,0,50,22,6.7662853367115385,8.853987683886867,-3.6692404026838297,21.64039788283005,72,0.6944444444444444,0.5880281690140845,43.62083858295777,15.73592121102346,1397.72680291934,adaptive,,1.0,0.25,0.1933313064592852,-150.19418549695865,-0.6685164940469694,-125.62100218957023,-0.6701717539395948,-128.6100071334729,-0.7333571864002089,-261.5864572772638,-0.636641134383164,-242.4536787427197,-0.5377193154649436,-208.45007668078532,-0.8254808127770717,-1.935718407394811,-0.8254808127770716,-0.2862669245647968,-0.3277962347729789,22,60.16149543855107,110.20994410683099,146.04483257908615,0.6168478260869565,6,2,15,0.7233788322111998,30.658907681789017,26.877083948917118,,False,False
hybrid_r60_adaptive_b075_t025_online,hybrid_r60_adaptive_soft,1034,74.87527903964533,62.18769771290176,48.55112009784891,145.97054653714554,208.67465141820017,36.75182962576797,0.3412864808919243,0.6112185686653772,0.2688588007736944,0.081237911025145,0.3887814313346228,0.7311411992263056,0.0,0.0,608.1767365309823,2790.3160705595533,72,1,71,50,22,0,50,22,5.789463977796704,9.10995586182306,-2.856264898828952,19.10661714940187,72,0.6944444444444444,0.4753521126760563,43.62083858295777,14.35062471811568,1397.72680291934,adaptive,,0.75,0.25,0.1933313064592852,-149.79260400350083,-0.6667290490057897,-125.25828378528738,-0.66823669829645,-126.820458061457,-0.7231528585906576,-264.9147122840781,-0.6447413398185273,-242.2179830282305,-0.5371965841172057,-215.76776072003344,-0.8544594913391083,-2.003672211585364,-0.8544594913391081,-0.2620889748549323,-0.3001107419712071,22,63.6679136712292,103.99513500116132,145.7784131871687,0.6785714285714286,9,0,13,3.0999444603133384,25.262282418778753,27.946677105085087,,False,False
hybrid_r60_uniform_a050_online,hybrid_r60_uniform_soft,1034,74.96216690090053,62.089922215179335,49.86059840198069,147.08761603016632,201.6581041176839,63.37107592482984,0.5884793141715102,0.5841392649903289,0.3065764023210832,0.0880077369439071,0.4158607350096712,0.6934235976789168,0.0,0.0,395.49859310760905,2932.124612854452,72,1,71,50,22,0,50,22,12.435835749605957,16.073711599839644,-5.981171523057922,19.21351802262147,72,0.6944444444444444,0.5,45.740766981538656,23.719280554014738,1397.72680291934,uniform,0.5,0.5,0.5,0.1933313064592852,-149.70571614224565,-0.6663423098774449,-125.35605928300978,-0.6687583178955523,-125.5109797573252,-0.7156859798758964,-263.79764279105734,-0.6420226501867174,-249.23453032874676,-0.5527580432417945,-189.14851442097157,-0.749044912364822,-1.756479378305778,-0.7490449123648221,-0.2891682785299806,-0.3311184939091915,22,62.291493560425934,107.64112587586244,141.0242727010998,0.6200945626477541,11,0,11,0.8502089249280633,15.029885233746832,55.00187597776032,,False,False
