policy,windows,median_window_rmse_m,p90_window_rmse_m,worst_window_rmse_m,median_window_failure_rate_gt40m,windows_better_than_hard,windows_equal_to_hard,windows_worse_than_hard,median_window_rmse_delta_vs_hard_m,maximum_window_improvement_vs_hard_m,maximum_window_worsening_vs_hard_m
balanced_hard_reset_online,22,64.7106665251118,113.14998049242499,198.7125333106743,0.6066734074823054,5,2,16,3.896581113029111,46.18392715134743,57.42724710016185
hybrid_r40_adaptive_b050_t025_online,22,73.8367567763515,105.90596340228224,152.49406231602632,0.7947154471544715,10,0,12,7.683991296730408,20.950844619295765,59.445260485632815
hybrid_r40_adaptive_b050_t050_online,22,69.41885876084338,109.35172677706164,153.40388839253768,0.6312056737588652,9,0,13,6.811668687249917,26.30164180314452,55.28139921940861
hybrid_r40_adaptive_b050_t075_online,22,67.06293496674395,103.73035038603201,155.16493994985444,0.6460720130932898,8,0,14,4.764151898257051,37.26483315745959,52.75519804592993
hybrid_r40_adaptive_b075_t025_online,22,66.3340518386938,100.37211953046226,152.326198624056,0.6589147286821706,10,0,12,4.5764155853082364,20.6251277538519,32.922771885077665
hybrid_r40_adaptive_b075_t050_online,22,64.62470119363665,107.26568430598817,153.37832711468468,0.5647840531561461,10,0,12,2.898360205196596,26.03836067462052,37.077125843320815
hybrid_r40_adaptive_b075_t075_online,22,62.77220133711106,105.05199195370851,155.16690592239766,0.5647840531561461,8,0,14,2.898208540903454,37.20277606302828,40.56758050060196
hybrid_r40_adaptive_b100_t025_online,22,60.16149543855108,110.14921953026831,152.63037945029149,0.6272644927536233,7,2,14,0.6851748815564953,25.02944131897307,28.69020152478636
hybrid_r40_adaptive_b100_t050_online,22,58.392051906386655,111.0333196967075,153.55355615612035,0.54856220657277,10,2,12,3.197442310920451e-14,25.794642171256257,33.29597704617977
hybrid_r40_adaptive_b100_t075_online,22,57.695713803123866,110.91167106045614,155.21742862285964,0.525278058645096,9,2,12,0.15277938554030968,36.77724698064905,36.92091239647924
hybrid_r40_hard_reset_online,22,54.661628897326686,110.65992241431007,156.94496954676035,0.6055253623188406,5,7,13,3.552713678800501e-14,39.294733442109745,39.3382841945636
hybrid_r40_uniform_a025_online,22,82.17378634073037,126.17444914084008,164.3137410769164,0.9217325227963526,7,0,15,17.899644099893077,33.891295659249096,117.41720874567336
hybrid_r40_uniform_a050_online,22,69.41885876084338,109.35172677706164,153.40388839253768,0.6312056737588652,9,0,13,6.811668687249917,26.30164180314452,55.28139921940861
hybrid_r40_uniform_a075_online,22,62.77220133711106,105.05199195370851,155.16690592239766,0.5647840531561461,8,0,14,2.898208540903454,37.20277606302828,40.56758050060196
hybrid_r60_adaptive_b050_t025_online,22,69.509468158862,105.7931208054946,145.8576801068159,0.7590011614401858,11,0,11,1.8449209505978956,19.71131971795042,59.1364145300776
hybrid_r60_adaptive_b050_t050_online,22,62.291493560425934,107.64112587586244,141.0242727010998,0.6200945626477541,11,0,11,0.8502089249280633,15.029885233746832,55.00187597776032
hybrid_r60_adaptive_b050_t075_online,22,55.224641444870855,108.53173283359862,136.15720801639773,0.6452358926919519,11,0,11,0.5528447909653416,10.729587566262097,52.59697324073419
hybrid_r60_adaptive_b075_t025_online,22,63.6679136712292,103.99513500116132,145.7784131871687,0.6785714285714286,9,0,13,3.0999444603133384,25.262282418778753,27.946677105085087
hybrid_r60_adaptive_b075_t050_online,22,58.661788386383,107.10562554526761,141.02791146595834,0.5769421078673924,12,0,10,-1.9001330834264003,15.69761447908428,19.566885735073257
hybrid_r60_adaptive_b075_t075_online,22,52.8544214372962,108.9337912773177,136.15939492852934,0.5942871587462083,11,0,11,0.11306537302627717,10.672541190693892,18.678469681064357
hybrid_r60_adaptive_b100_t025_online,22,60.16149543855107,110.20994410683099,146.04483257908615,0.6168478260869565,6,2,15,0.7233788322111998,30.658907681789017,26.877083948917118
hybrid_r60_adaptive_b100_t050_online,22,53.66969489166436,110.03184952080214,141.1292435720931,0.54856220657277,12,2,10,-0.02703083779065807,17.6535310338152,14.222484125638736
hybrid_r60_adaptive_b100_t075_online,22,48.20552165164565,110.94918324635292,136.17347150851202,0.5303442028985507,12,2,9,-0.5005425357649784,10.326887048265291,6.3784987585261845
hybrid_r60_hard_reset_online,22,51.019118670086286,112.31167278744576,141.28528621051245,0.5921325051759834,0,22,0,0.0,-0.0,0.0
hybrid_r60_uniform_a025_online,22,73.11062267839789,134.3260346708938,165.19348201595176,0.9285714285714286,9,0,13,8.778034257511262,22.67822925876112,118.29694968470874
hybrid_r60_uniform_a050_online,22,62.291493560425934,107.64112587586244,141.0242727010998,0.6200945626477541,11,0,11,0.8502089249280633,15.029885233746832,55.00187597776032
hybrid_r60_uniform_a075_online,22,52.8544214372962,108.9337912773177,136.15939492852934,0.5942871587462083,11,0,11,0.11306537302627717,10.672541190693892,18.678469681064357
permissive_hard_reset_online,22,50.10852003760499,112.31167278744576,127.90524331859255,0.5699404761904763,7,11,4,0.0,22.148398889248675,32.84680399208958
relative_only,22,179.03625028793556,340.71201918728605,430.41143241052004,1.0,3,0,19,84.07147757142553,44.40415868473796,383.514900079277
