available_event_count,anchor_start_event_index,anchor_end_event_index,anchor_start_frame,anchor_end_frame,anchor_start_token,anchor_end_token,visual_separation_px,map_separation_m,scale_m_per_px,rotation_deg,translation_x_m,translation_y_m,median_prefix_residual_m,p95_prefix_residual_m,max_prefix_residual_m,anchor_start_true_eval_only,anchor_end_true_eval_only,prefix_inliers_r40,prefix_inlier_rate_r40,prefix_true_inliers_r40_eval_only,prefix_inliers_r60,prefix_inlier_rate_r60,prefix_true_inliers_r60_eval_only,prefix_inliers_r80,prefix_inlier_rate_r80,prefix_true_inliers_r80_eval_only
2,0,1,0,59,1,60,2114.040634939943,627.402583058915,0.296778866351705,1.2708992682777034,28.20529212744441,-12.904388110153375,3.197442310920451e-14,6.075140390748856e-14,6.394884621840902e-14,True,False,2,1.0,1,2,1.0,1,2,1.0,1
3,1,2,59,78,60,79,733.8218497892549,220.21376207543233,0.30009158508795447,22.623659026535517,260.49492899929544,14.201805009643408,5.684341886080802e-14,210.4792367285627,233.86581858729193,False,True,2,0.6666666666666666,1,2,0.6666666666666666,1,2,0.6666666666666666,1
4,0,3,0,80,1,81,2850.9560733334915,835.9678624576387,0.2932236909143886,6.64536850256251,28.20529212744441,-12.904388110153375,1.020961667800605,50.4203645758609,58.9577365594362,True,True,3,0.75,3,4,1.0,3,4,1.0,3
5,2,4,78,99,79,100,717.9508893838474,139.89685801063297,0.19485574860237842,-356.33247098451125,-17.810835528977634,266.79318315656326,1.356917986082381,246.13510028350305,283.4576077246687,True,False,3,0.6,2,3,0.6,2,3,0.6,2
6,1,5,59,180,60,181,2826.7100277048453,845.8665990209772,0.29924066873876726,0.8337397892305738,23.1714139457786,-17.88943465057912,14.762920291085837,82.71625788744639,83.12903169459416,False,True,4,0.6666666666666666,2,4,0.6666666666666666,2,4,0.6666666666666666,2
7,2,6,78,185,79,186,3054.509080463661,830.7485290137199,0.2719744833391086,1.8139739440014782,-42.26651371270205,47.508352260376796,5.867956904313203,88.52105655761028,92.82227436045933,True,True,4,0.5714285714285714,4,5,0.7142857142857143,4,6,0.8571428571428571,4
8,2,7,78,190,79,191,3062.591305245865,830.7485290137199,0.27125673856343274,1.5153209025379621,-46.23049972722393,49.68125917937368,7.774177088109315,91.05972042922635,97.2504516991083,True,True,5,0.625,5,6,0.75,5,7,0.875,5
9,0,8,0,195,1,196,3150.5111110409853,940.4875361559083,0.29851903485119097,1.3025192852576715,28.20529212744441,-12.904388110153375,9.630800174261994,81.02384710132199,81.66459083897003,True,True,7,0.7777777777777778,5,7,0.7777777777777778,5,7,0.7777777777777778,5
10,2,9,78,200,79,201,3119.745642615279,844.4859524962752,0.2706906425192868,1.6706133353444335,-44.08613051508925,51.22248744629201,7.095705645499002,88.72652312555563,96.63491064989536,True,True,7,0.7,7,8,0.8,7,9,0.9,7
11,2,10,78,205,79,206,3135.5475180344197,844.4859524962752,0.26932647253442293,1.1685329666786053,-50.67802913553174,55.35078334709965,12.334851647691414,92.59670068385893,104.31369423108796,True,True,8,0.7272727272727273,8,9,0.8181818181818182,8,9,0.8181818181818182,8
12,0,11,0,210,1,211,3090.9436678335405,922.9398316951209,0.2985948405659604,0.7787163675512999,28.20529212744441,-12.904388110153375,9.122147703267627,88.4130981493653,89.30074408893861,True,True,10,0.8333333333333334,8,10,0.8333333333333334,8,10,0.8333333333333334,8
13,2,12,78,215,79,216,3247.302099182363,875.4713995730491,0.26959961618399586,2.217867887328857,-36.65572169080177,54.12738957156262,9.71450207399641,83.66388252498743,93.27491802570357,True,True,10,0.7692307692307693,10,11,0.8461538461538461,10,12,0.9230769230769231,10
14,7,13,190,480,191,481,5735.2964457266835,1920.2596988278126,0.3348143756821115,2.3965080087920194,135.01324976390367,-41.057803587971534,15.304751869430353,194.30854089980664,195.16793781106006,True,True,9,0.6428571428571429,9,9,0.6428571428571429,9,9,0.6428571428571429,9
15,6,14,185,481,186,482,5716.2847663972825,1920.2596988278126,0.33592792824386636,2.296481902491571,136.78626597432776,-50.45101772929263,12.994050430854521,194.52578262016664,195.50104993343902,True,True,10,0.6666666666666666,10,10,0.6666666666666666,10,10,0.6666666666666666,10
16,11,15,210,485,211,486,5487.327503235975,1859.7038199377532,0.3389088438481306,1.809514063619199,146.5609809224444,-55.707255932971975,16.746204230520895,212.16941254247058,213.2460026079081,True,False,11,0.6875,10,11,0.6875,10,11,0.6875,10
17,11,16,210,505,211,506,4988.592426643791,1750.2818720356756,0.3508568594795435,3.947678099001539,197.31964039720606,-36.48904454292807,18.463008591663414,251.15040780085195,252.12147199474026,True,False,9,0.5294117647058824,8,9,0.5294117647058824,8,9,0.5294117647058824,8
18,11,17,210,515,211,516,4760.566479225649,1674.9973786209746,0.351848332741575,3.2060150889293846,193.98579287874554,-50.48534950375017,20.967823546954794,253.1615831808002,254.276067603645,True,True,10,0.5555555555555556,9,10,0.5555555555555556,9,10,0.5555555555555556,9
19,10,18,205,520,206,521,4675.905323458259,1596.9874893018343,0.3415354629380554,2.2624414890385207,155.46747144982453,-35.89363774161467,29.868224654604422,226.01604112244405,227.1415191522079,True,True,12,0.631578947368421,11,13,0.6842105263157895,12,14,0.7368421052631579,12
20,9,19,200,525,201,526,4587.506292286718,1583.6580184750649,0.3452110836638579,2.014990598873839,162.59420006515768,-56.240329661298006,28.822649039712392,231.24373074441746,232.5554741436774,True,False,11,0.55,9,14,0.7,12,15,0.75,12
21,12,20,215,555,216,556,4141.070269829158,1553.0351671944384,0.37503231435348466,1.8674092789387409,252.09058744853814,-84.57619460908029,124.34262886789128,340.9826648345788,342.43007199554836,True,True,7,0.3333333333333333,7,9,0.42857142857142855,9,9,0.42857142857142855,9
22,5,21,180,660,181,661,3480.6154731686474,1174.2364483854142,0.33736460043844624,10.09012785877364,207.52633608269514,70.445346271733,181.21495253162942,255.80270869247477,258.16376160679255,True,True,9,0.4090909090909091,9,9,0.4090909090909091,9,9,0.4090909090909091,9
