sequence,query_token0_id,query_frame_index_in_sequence,query_filename,query_path,query_lon,query_lat,query_keypoints,tiles_ranked,first_correct_rank,first_correct_score,first_correct_error_m,closest_correct_rank,closest_correct_error_m,recall_at_1,recall_at_5,recall_at_10,top1_tile_index,top1_score,top1_good_matches,top1_ransac_inliers,top1_contains_gt,top1_center_error_m,top2_score,score_margin_top1_top2,score_margin_top1_first_correct,elapsed_s,ranked_csv
traj01,1,0,1@0@112.816130@28.297316.png,data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,112.81613,28.297316,1200,8625,529,6.1,44.01142162563788,7279,15.038814518132732,False,False,False,5471,8.9,19,7,False,1855.783186525004,8.8,0.09999999999999964,2.8000000000000007,168.8837819889959,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0001_ranked_tiles.csv
traj01,115,114,115@114107@112.812385@28.304887.png,data/raw/satloc/part_1/UAV Data/traj01/115@114107@112.812385@28.304887.png,112.812385,28.304887,1200,8625,229,6.1,30.095029779989947,6680,20.153828034138165,False,False,False,5523,10.2,12,9,False,1467.3729165248185,9.6,0.5999999999999996,4.1,147.74654963699868,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0115_ranked_tiles.csv
traj01,230,229,230@229216@112.808512@28.299702.png,data/raw/satloc/part_1/UAV Data/traj01/230@229216@112.808512@28.299702.png,112.808512,28.299702,1200,8625,434,6.8,34.624884350110946,8242,5.806884634189723,False,False,False,4722,11.0,20,9,False,2626.4271773885584,10.6,0.40000000000000036,4.2,233.42353223900136,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0230_ranked_tiles.csv
traj01,345,344,345@53050@112.810151@28.289215.png,data/raw/satloc/part_1/UAV Data/traj01/345@53050@112.810151@28.289215.png,112.810151,28.289215,1200,8625,313,7.4,51.4797662543476,879,20.87227113646323,False,False,False,4488,10.8,18,9,False,3026.6992690421953,10.6,0.20000000000000107,3.4000000000000004,317.47644664100517,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0345_ranked_tiles.csv
traj01,460,459,460@168158@112.823609@28.289576.png,data/raw/satloc/part_1/UAV Data/traj01/460@168158@112.823609@28.289576.png,112.823609,28.289576,1200,8625,495,5.7,30.338697107157348,7502,11.031824748429042,False,False,False,4791,8.3,13,7,False,1010.8338985581603,7.7,0.6000000000000005,2.6000000000000005,178.3319594029963,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0460_ranked_tiles.csv
traj01,574,573,574@282266@112.823609@28.298904.png,data/raw/satloc/part_1/UAV Data/traj01/574@282266@112.823609@28.298904.png,112.823609,28.298904,1200,8625,207,6.3,68.06627698139921,1960,16.467262871762877,False,False,False,3817,9.1,11,8,False,260.52653061374366,9.0,0.09999999999999964,2.8,143.3868935030041,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0574_ranked_tiles.csv
traj01,689,688,689@106100@112.818544@28.293618.png,data/raw/satloc/part_1/UAV Data/traj01/689@106100@112.818544@28.293618.png,112.818544,28.293618,1200,8625,122,7.8,55.93188972877259,3046,13.724033712652929,False,False,False,2887,11.8,18,10,False,1509.925386062463,10.4,1.4000000000000004,4.000000000000001,147.79547126400576,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0689_ranked_tiles.csv
traj01,804,803,804@221208@112.811336@28.296699.png,data/raw/satloc/part_1/UAV Data/traj01/804@221208@112.811336@28.296699.png,112.811336,28.296699,1200,8625,223,6.6,82.44787185828311,6898,16.89152223075718,False,False,False,3274,9.5,15,8,False,298.5083556291215,9.3,0.1999999999999993,2.9000000000000004,174.90070485599426,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0804_ranked_tiles.csv
traj01,919,918,919@45042@112.815076@28.299574.png,data/raw/satloc/part_1/UAV Data/traj01/919@45042@112.815076@28.299574.png,112.815076,28.299574,1200,8625,155,6.3,78.9919559225308,415,17.112853462380585,False,False,False,4220,8.5,15,7,False,1896.4251961573286,8.4,0.09999999999999964,2.2,175.94187044999853,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token0919_ranked_tiles.csv
traj01,1034,1033,1034@160151@112.816307@28.296352.png,data/raw/satloc/part_1/UAV Data/traj01/1034@160151@112.816307@28.296352.png,112.816307,28.296352,1200,8625,537,6.1,34.10824304828637,5341,15.234924759416568,False,False,False,5177,9.7,17,8,False,421.24046056858964,9.7,0.0,3.5999999999999996,224.74669071499375,outputs/satloc/metadata/s4a_orb_tile_retrieval/multi_query_benchmark/traj01_multiquery_fullcached_V2_clahe_luma_nf1200_q10/query_token1034_ranked_tiles.csv
