policy,alpha,accepted_corrections,true_accepted_le40_eval_only,false_accepted_eval_only,dangerous_accepted_gt100m_eval_only,rmse_m,mean_error_m,median_error_m,p95_error_m,max_error_m,final_error_m,evaluation_distance_m,final_drift_per_100m
interval_50m_strict_a_accept_online,0.25,8,6,2,0,13.840340668003138,12.244218296167416,11.61697948373681,25.24084257925261,28.932266541852258,15.690356909586804,1704.9826649748272,0.9202648937089609
f3_temporal_a_bootb_res50_r030_gap30_accept_online,0.25,11,10,1,0,14.021414663979968,10.789993187213192,7.8191185260648925,30.161203218457384,32.914033173314834,9.092819586574324,1704.9826649748272,0.5333086237981529
oracle_hit40_accept_eval_only,0.25,173,173,0,0,14.27678488926134,12.887055465366844,13.324080266329004,25.245373266714783,28.011131194686254,13.970495345278046,1704.9826649748272,0.8193922221188278
strict_b_accept_online,0.75,16,14,2,0,16.067242542894327,14.231695454986856,11.346993671366455,26.44808282305813,43.9871932006681,17.43686128147758,1704.9826649748272,1.0227002091974362
strict_a_accept_online,0.25,64,40,24,0,16.246379213870714,14.308387957697017,15.044503510859228,25.16524465497471,42.12044522728493,14.985891816901717,1704.9826649748272,0.878946872877618
strict_b_accept_online,0.5,16,14,2,0,17.19554103132895,16.030261890241178,13.13048255744815,29.374477893596488,33.91407677884754,17.124305523983512,1704.9826649748272,1.004368306831808
f3_temporal_a_bootb_res50_r030_gap30_accept_online,0.5,11,10,1,0,17.83088794981856,15.878273084839208,18.871313410249712,29.240271746132517,33.228371979396506,20.52010612864723,1704.9826649748272,1.2035375227084901
strict_a_accept_online,0.5,64,40,24,0,18.153992743122426,15.984121878276946,12.45801523796931,31.01910639153572,55.20996518830065,21.825432061020084,1704.9826649748272,1.2800970068128124
oracle_hit40_accept_eval_only,0.5,173,173,0,0,18.792766631273132,17.634477678100094,17.99175197902867,28.40981029902078,33.985603758640124,14.579016192845963,1704.9826649748272,0.8550829572839799
f3_temporal_b_res30_r025_gap30_accept_online,0.25,5,5,0,0,19.907656994091045,15.739218254019658,14.41090811595472,40.66568640641783,41.77304597704329,3.7386534641577187,1704.9826649748272,0.2192780924381373
f3_temporal_a_bootb_res50_r030_gap50_accept_online,0.25,8,8,0,0,20.040652577148492,17.609295139193108,13.037619578816182,39.121494135153796,41.53622230166917,10.584078097925895,1704.9826649748272,0.6207733553749745
strict_b_accept_online,0.25,16,14,2,0,20.11337785500009,18.74807887897512,17.5340575346734,32.53486780935491,40.02838867920884,21.204355799164226,1704.9826649748272,1.2436698762258263
f3_temporal_a_bootb_res50_r030_gap50_accept_online,0.5,8,8,0,0,20.452207072476025,18.873871087203995,18.064716097200503,35.79757524838782,39.25262065897805,21.72804441099189,1704.9826649748272,1.2743850631063567
strict_b_accept_online,1.0,16,14,2,0,20.487750369567003,18.84470419888001,18.94389644128746,28.783571085658284,52.41593722060551,24.686917424616855,1704.9826649748272,1.4479277667601
strict_a_accept_online,0.75,64,40,24,0,21.55297909359379,19.141131544436153,15.47164193432812,38.70251901436035,63.55000992734047,35.68767275831069,1704.9826649748272,2.093139918160845
oracle_hit40_accept_eval_only,0.75,173,173,0,0,21.591778434450326,20.555432857325663,20.558699606147112,31.594297529475465,36.89557188590778,12.838775716189526,1704.9826649748272,0.753015029415509
interval_50m_strict_a_accept_online,0.5,8,6,2,0,21.757218536717996,19.220613125158014,23.178475569047208,30.90437452088255,35.2424400204266,29.379938172616242,1704.9826649748272,1.7231810490606962
f3_temporal_b_res30_r025_gap30_accept_online,0.5,5,5,0,0,21.96396091287688,21.017614910784452,20.59413749952863,35.04948935274503,35.77651422110066,21.832789086447868,1704.9826649748272,1.2805285082925
f3_temporal_a_bootb_res30_r025_gap30_accept_online,0.5,7,6,1,0,21.986858474100643,20.836968394116,19.41837841449221,36.784130264138106,39.91901644115477,14.242967404555806,1704.9826649748272,0.8353731505396914
f3_temporal_a_bootb_res30_r025_gap50_accept_online,0.5,7,6,1,0,21.986858474100643,20.836968394116,19.41837841449221,36.784130264138106,39.91901644115477,14.242967404555806,1704.9826649748272,0.8353731505396914
f3_temporal_a_bootb_res50_r030_gap100_accept_online,0.5,5,5,0,0,22.30459463504684,19.554372503456808,19.053109830432813,41.72152794861348,43.69309300970564,12.189570460377801,1704.9826649748272,0.7149380876876993
f3_temporal_a_bootb_res30_r025_gap30_accept_online,0.25,7,6,1,0,23.053517184089486,21.26268680744468,18.234383874269888,40.2981063773093,42.47540017553903,4.9271806134923155,1704.9826649748272,0.2889871383862464
f3_temporal_a_bootb_res30_r025_gap50_accept_online,0.25,7,6,1,0,23.053517184089486,21.26268680744468,18.234383874269888,40.2981063773093,42.47540017553903,4.9271806134923155,1704.9826649748272,0.2889871383862464
f3_temporal_a_bootb_res50_r030_gap30_accept_online,0.75,11,10,1,0,23.366200734091393,20.49680600643341,27.538011979056314,32.92852607520638,36.44401155841083,21.998490126362285,1704.9826649748272,1.2902471431688765
oracle_hit40_accept_eval_only,1.0,173,173,0,0,23.79439699049437,22.528185302743793,21.60513678554413,36.79487728319061,41.847127920047264,11.334898769039066,1704.9826649748272,0.6648102061029704
f3_temporal_a_bootb_res50_r030_gap100_accept_online,0.75,5,5,0,0,24.75584306467468,23.31642206184692,22.992855971850297,38.78685844897159,41.41630154377864,20.57352586114529,1704.9826649748272,1.2066706767044486
f3_temporal_a_bootb_res50_r030_gap50_accept_online,0.75,8,8,0,0,25.646275712259303,23.446394662699472,29.336028371235635,37.30564516743523,38.57729126337406,24.47838118318166,1704.9826649748272,1.435696777805249
strict_a_accept_online,1.0,64,40,24,0,25.841363431768468,24.107302086123624,21.07318651735941,42.96030622078301,73.08185141946257,50.86227616237985,1704.9826649748272,2.983155031850766
f3_temporal_b_res30_r025_gap30_accept_online,0.75,5,5,0,0,26.725256082109684,25.427103400008214,28.20285176543329,34.90730758227469,43.33273370256511,30.388760209047124,1704.9826649748272,1.782350098527001
f3_temporal_a_bootb_res50_r030_gap100_accept_online,0.25,5,5,0,0,27.020725747835215,25.360519398483696,24.079299299783226,44.618266794422254,45.86029282849127,12.48437882240812,1704.9826649748272,0.7322290765104315
f3_temporal_a_bootb_res30_r025_gap30_accept_online,0.75,7,6,1,0,27.43954681273529,26.648960036998584,28.061316708736648,36.38888427233621,38.987362356734955,20.443133261140414,1704.9826649748272,1.1990229391242662
f3_temporal_a_bootb_res30_r025_gap50_accept_online,0.75,7,6,1,0,27.43954681273529,26.648960036998584,28.061316708736648,36.38888427233621,38.987362356734955,20.443133261140414,1704.9826649748272,1.1990229391242662
f3_temporal_a_bootb_res50_r030_gap30_accept_online,1.0,11,10,1,0,27.7285465284253,25.860063178897242,31.68806840959983,37.33930487291737,41.847127920047264,21.09935287308485,1704.9826649748272,1.2375112842215534
interval_50m_strict_a_accept_online,0.75,8,6,2,0,28.006901650193868,25.56176482918271,30.879906522657205,37.877372954027855,47.82279379099142,33.72362123707278,1704.9826649748272,1.977945109346357
f3_temporal_a_bootb_res50_r030_gap50_accept_online,1.0,8,8,0,0,29.308673558113718,27.056486362096997,32.812758076728244,40.51141289426678,42.33184472674481,21.09935287308485,1704.9826649748272,1.2375112842215534
f3_temporal_b_res30_r025_gap30_accept_online,1.0,5,5,0,0,31.374753348798613,29.950757809866317,33.21010778687324,43.649402588104,52.21037541867854,33.197872435039336,1704.9826649748272,1.9471090889671583
f3_temporal_a_bootb_res50_r030_gap100_accept_online,1.0,5,5,0,0,32.476970436343855,31.610963998615848,33.00411501597945,39.55197728752412,47.54303999554437,21.09935287308485,1704.9826649748272,1.2375112842215534
f3_temporal_a_bootb_res30_r025_gap30_accept_online,1.0,7,6,1,0,32.65250708533276,31.818412601430637,33.53919751602463,39.38270134296534,47.54303999554437,21.09935287308485,1704.9826649748272,1.2375112842215534
