token,sources,scenes,failure_groups,selection_priority_score,recommended_role,phog_error_m,lsd_error_m,oracle_top50_error_m,anchor_top1_error_m,best_any_stream_error_m,best_stream
614,"s4c6,s7b4",agricultural_open_field,"candidate_pool_failure,pool_failure_or_far_ambiguity",250,hardest_failure,2389.2387812642114,1838.901562375016,299.5658202069394,1892.0315694482745,119.5105684372932,center
631,"s4c6,s7b4",agricultural_open_field,"candidate_pool_failure,pool_failure_or_far_ambiguity",250,hardest_failure,2416.0874741806747,392.711689792674,172.518609182532,898.6969321131197,171.39795021579445,resize
626,s7b4,agricultural_open_field,pool_failure_or_far_ambiguity,170,hardest_failure,,,,868.7298550940312,202.7203143198335,center
636,s7b4,agricultural_open_field,pool_failure_or_far_ambiguity,170,hardest_failure,,,,767.2763006718008,139.05244287858756,center
641,s7b4,agricultural_open_field,pool_failure_or_far_ambiguity,170,hardest_failure,,,,791.6985908172256,107.84975345420816,resize
67,"s4c6,s7b4",mixed_urban_natural,"candidate_pool_failure,non_anchor_rescue",135,hero_candidate,1448.174892187096,1029.637601726114,251.31967992334023,2215.68595243916,8.48284855639311,resize
387,"s4c6,s7b4",forest_canopy,"candidate_pool_failure,near_pool_miss_40_100m",125,hardest_failure,1889.0252539995129,1007.5835985539868,945.3051082906984,354.94121578048646,45.95811957410671,center
653,"s4c6,s7b4",water_wetland,"candidate_pool_failure,near_pool_miss_40_100m",125,hardest_failure,1415.8173459911295,1086.7336229188195,462.83052012042737,806.4163124267833,63.654578232604045,resize
794,"s4c6,s7b4",water_wetland,"candidate_pool_failure,near_pool_miss_40_100m",125,hardest_failure,3001.155104355888,350.27954718769814,350.27954718769814,560.5918361433577,83.45339633204394,center
963,"s4c6,s7b4",mixed_urban_natural,"candidate_pool_failure,near_pool_miss_40_100m",125,hardest_failure,1502.9656075869937,485.1262633542988,144.58224024311232,747.4733049380794,52.56451272407397,center
971,"s4c6,s7b4",mixed_urban_natural,"candidate_pool_failure,near_pool_miss_40_100m",125,hardest_failure,952.8332840430222,894.0192820357336,295.2176792210381,1531.4524440003368,56.94891777228062,center
1024,"s4c6,s7b4",mixed_urban_natural,"candidate_pool_failure,near_pool_miss_40_100m",125,hardest_failure,1985.3949093318915,1763.2202759250763,207.49336468103115,1131.1198967336195,48.61666069903707,resize
606,s7b4,agricultural_open_field,near_pool_miss_40_100m,115,hardest_failure,,,,2023.268516092353,43.08892851359237,center
611,s7b4,agricultural_open_field,near_pool_miss_40_100m,115,hardest_failure,,,,877.4695273239146,91.01698890630736,resize
616,s7b4,agricultural_open_field,near_pool_miss_40_100m,115,hardest_failure,,,,1145.0679665443752,78.20045946143044,resize
621,s7b4,agricultural_open_field,near_pool_miss_40_100m,115,hardest_failure,,,,956.4492993521372,82.30279620331399,resize
646,s7b4,agricultural_open_field,near_pool_miss_40_100m,115,hardest_failure,,,,791.6543648992547,71.83123580960996,resize
651,s7b4,agricultural_open_field,near_pool_miss_40_100m,115,hardest_failure,,,,798.2834059692977,58.365770990424096,resize
396,s7b4,forest_canopy,pool_failure_or_far_ambiguity,100,hardest_failure,,,,2013.0300419904672,105.70188841039186,resize
581,s7b4,urban,pool_failure_or_far_ambiguity,100,hardest_failure,,,,514.2324575712901,189.6317166974437,center
601,s7b4,urban,pool_failure_or_far_ambiguity,100,hardest_failure,,,,1992.7746331295737,104.7427993256877,resize
533,"s4c6,s7b4",urban,"lsd_rescue,non_anchor_rescue",85,hero_candidate,893.2910867525937,26.18788031439546,26.18788031439546,1140.6304036031063,26.187916486636286,resize
50,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,1960.460294517748,706.5548399831097,315.7433073230828,5.751441947321595,5.751441947321595,center
58,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,1516.572667479234,2345.18383541135,118.81239870240591,9.81053083384826,9.81053083384826,center
74,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,1542.2541621295356,927.1417155095544,166.4748832889475,2691.957903339808,10.671731277176905,center
117,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,1386.2605545590088,411.9649409473276,411.9649409473276,457.30126374426686,38.47736056429648,center
288,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,2272.0638908026585,1651.9205477613184,296.5591011046969,69.8710249587073,27.86426477383707,center
300,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,2020.897433535386,2020.897433535386,366.6980566895445,855.2473613428875,9.035155176652056,center
326,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,1665.2554156950437,1658.4776770949609,150.93924362983591,46.79344521496926,14.226421925036822,center
336,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,2980.891696815693,1376.6047487872795,206.74293020304265,648.9444399218615,24.535294061136803,center
350,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,2817.234996455406,1734.498125471012,348.4270576371318,1271.7570377540471,21.202992196536936,center
366,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,1704.4675685992272,1669.5464339740909,638.0462027798397,1242.136080621504,25.364286335895653,center
405,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,1638.7561701088057,2011.0637802481665,119.20360563108468,2238.987302091381,9.013451704379763,center
421,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,2143.358909314933,1227.4034631031634,509.89514955829424,20.631033313254967,17.107215212804835,center
450,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,352.3369422017206,1234.3774936461573,352.3369422017206,359.85586243593605,4.729224158810898,center
474,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,2439.226688264143,727.4789473424308,181.47233991919367,74.45207841533234,8.012284351203501,center
503,"s4c6,s7b4",forest_canopy,"anchor_success,candidate_pool_failure",80,hardest_failure,1816.1017078345512,528.3862445495192,528.3862445495192,31.25350202423707,4.883082042178407,center
573,"s4c6,s7b4",urban,"anchor_success,candidate_pool_failure",80,hardest_failure,2179.301483589029,2172.6080006027173,739.2537292126083,1076.3902453903747,16.47511138760155,center
577,"s4c6,s7b4",urban,"anchor_success,candidate_pool_failure",80,hardest_failure,1949.416349465337,1949.416349465337,717.5719916346494,1804.2580098593453,14.931511700847771,center
591,"s4c6,s7b4",urban,"anchor_success,candidate_pool_failure",80,hardest_failure,505.1976200807544,2462.6491957635576,293.2170619555476,1886.5831535848229,11.35811203042754,resize
662,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,1819.3299381571749,381.16211205263295,250.4481330448639,841.1433256289968,4.813689525890805,center
679,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,2266.73857584922,1753.1964400540949,286.6723308605701,731.5058531000211,2.753539811239256,center
768,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,1303.295146628829,152.3012470422227,141.42573612605077,29.60649741526517,14.814926479966868,center
781,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,1172.9196152970314,624.5819022960344,265.4349903834407,766.7476271238492,10.28323323374064,center
808,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,2826.261069676493,1903.717318533707,220.9834206336602,300.279139104012,11.5835762904337,center
820,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,2621.53188913288,784.3332202518379,313.0319402972384,674.8933108798733,34.59025817348051,center
833,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,2930.854928469407,2930.854928469407,240.26522400074177,103.6002438029853,11.538933105325755,center
844,"s4c6,s7b4",water_wetland,"anchor_success,candidate_pool_failure",80,hardest_failure,1286.916177562328,1725.9496355445897,430.9381636052902,1619.499883247198,12.990233580035056,center
952,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,2627.96613800913,2661.5494341969884,259.88454778394475,980.8775569170464,33.536628002507975,center
1034,"s4c6,s7b4",mixed_urban_natural,"anchor_success,candidate_pool_failure",80,hardest_failure,1589.5955997197332,623.8775845535448,623.8775845535448,662.9538311678398,15.24728266222514,center
1,"s4c6,s7b4",mixed_urban_natural,"lsd_rescue,near_pool_miss_40_100m",75,hardest_failure,2672.693485404899,15.072437260842536,15.072437260842536,1114.9141527269762,47.08621180579595,center
269,"s4c6,s7b4",mixed_urban_natural,"lsd_destroyed_phog_success,non_anchor_rescue",55,hero_candidate,7.532041265892122,803.6803916276192,7.532041265892122,983.1776019382988,34.95922456851512,resize
406,s7b4,forest_canopy,non_anchor_rescue,55,hero_candidate,,,,1250.6074869544495,16.786589000886746,resize
434,"s4c6,s7b4",forest_canopy,"non_anchor_rescue,weak_pool_near_candidate",55,hero_candidate,1868.2082212474063,239.6545761729081,75.55291917806296,560.165531747896,8.984021297953621,resize
461,s7b4,forest_canopy,non_anchor_rescue,55,hero_candidate,,,,1476.820628443938,36.64843621899468,resize
656,s7b4,water_wetland,non_anchor_rescue,55,hero_candidate,,,,822.2023932775569,36.28315371928027,resize
921,s7b4,mixed_urban_natural,non_anchor_rescue,55,hero_candidate,,,,321.4155682471429,26.23155903338337,resize
926,s7b4,mixed_urban_natural,non_anchor_rescue,55,hero_candidate,,,,1365.8984041137794,25.513926308612504,resize
931,s7b4,mixed_urban_natural,non_anchor_rescue,55,hero_candidate,,,,55.34384599269117,28.314989894906063,resize
946,"s4c6,s7b4",mixed_urban_natural,"non_anchor_rescue,stable_success",55,hero_candidate,22.59965687530778,22.59965687530778,22.59965687530778,499.5150713353832,34.74706989910654,resize
1021,s7b4,mixed_urban_natural,non_anchor_rescue,55,hero_candidate,,,,1210.541199673015,20.47774707855957,resize
11,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,616.4263018329551,40.17780726422097,resize
121,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,860.3806078783351,56.50711867143675,resize
251,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,1615.8361205991343,94.20590357436592,center
256,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,161.15988625402974,64.63082038003618,center
259,"s4c6,s7b4",mixed_urban_natural,"near_pool_miss_40_100m,stable_success",45,supporting_failure_case,19.85008059081389,19.85008059081389,19.85008059081389,1058.599748863579,40.987456814923846,resize
271,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,999.0562079097476,70.97663468411079,resize
281,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,706.3318795334677,69.24032686920734,center
386,s7b4,forest_canopy,near_pool_miss_40_100m,45,supporting_failure_case,,,,1755.442624354566,48.49570620660709,center
391,s7b4,forest_canopy,near_pool_miss_40_100m,45,supporting_failure_case,,,,361.4619304741427,46.355114604604886,resize
401,s7b4,forest_canopy,near_pool_miss_40_100m,45,supporting_failure_case,,,,1260.083155793501,46.33694480038417,center
536,s7b4,urban,near_pool_miss_40_100m,45,supporting_failure_case,,,,119.5640238759307,41.80335505939775,resize
681,s7b4,water_wetland,near_pool_miss_40_100m,45,supporting_failure_case,,,,90.36464136689884,47.58258430101179,center
786,s7b4,water_wetland,near_pool_miss_40_100m,45,supporting_failure_case,,,,1265.233388353595,42.41839292595787,center
791,s7b4,water_wetland,near_pool_miss_40_100m,45,supporting_failure_case,,,,1124.3439556449036,76.14302200441578,center
796,s7b4,water_wetland,near_pool_miss_40_100m,45,supporting_failure_case,,,,1139.7128105612508,95.63105507825318,resize
821,s7b4,water_wetland,near_pool_miss_40_100m,45,supporting_failure_case,,,,664.479440415039,43.87775371009512,center
951,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,666.891530820757,76.71169268946107,center
956,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,715.7943599573041,80.15351770739709,center
961,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,51.04790286700834,51.04790286700834,center
966,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,1235.1830594214673,57.529091009819886,center
1011,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,1091.4511758239612,43.846290874865694,center
1015,"s4c6,s7b4",mixed_urban_natural,"near_pool_miss_40_100m,selection_failure_correct_in_pool",45,supporting_failure_case,1184.921590682784,1184.921590682784,23.22839645619862,1066.105785365984,96.23632251625702,resize
1016,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,1060.0761192312052,54.11150023902263,resize
1026,s7b4,mixed_urban_natural,near_pool_miss_40_100m,45,supporting_failure_case,,,,1168.445475932448,41.992244833266525,resize
60,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,1519.6257671506526,17.847210672668822,17.847210672668822,17.847235324284885,17.847235324284885,center
90,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,3211.489396191173,23.237158108933578,23.237158108933578,17.1632719560477,17.1632719560477,center
166,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,730.3870700644611,25.740994645618564,25.740994645618564,25.74103020058672,20.5898331799023,center
310,"s4c6,s7b4",forest_canopy,"anchor_success,lsd_rescue",30,supporting_failure_case,2555.297600259051,15.110351947969876,15.110351947969876,31.540269501361863,15.110372819275886,center
482,"s4c6,s7b4",forest_canopy,"anchor_success,lsd_rescue",30,supporting_failure_case,909.0270244041124,37.35161251150576,13.126117977540291,307.1016794575415,23.630375328259344,center
760,"s4c6,s7b4",water_wetland,"anchor_success,lsd_rescue",30,supporting_failure_case,1163.4691968958805,23.20260520669548,19.46792077246785,30.098616938913104,19.46794766270112,center
886,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,254.6038215302732,18.57554066973097,18.57554066973097,50.94894963263035,18.575566327357407,center
927,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,1449.8774826424487,30.0308220672608,30.0308220672608,1371.8961741521498,37.56622306278606,center
990,"s4c6,s7b4",mixed_urban_natural,"anchor_success,lsd_rescue",30,supporting_failure_case,1638.1540256423496,22.57078829934072,22.57078829934072,57.9746876781087,22.57081947543621,center
6,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,640.4921796846993,12.262617224032272,center
16,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1152.3415249331977,15.307403070435582,center
21,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,1476.6675655719257,35.93485571853286,center
26,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,29.005372837197708,20.526915323003703,center
31,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,11.74350308054015,11.74350308054015,center
36,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,51.909551038457934,5.350554710134559,center
40,"s4c6,s7b4",mixed_urban_natural,"anchor_success,stable_success",0,supporting_failure_case,12.433470075565795,12.433470075565795,12.433470075565795,12.433487249405625,12.433487249405625,center
41,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,23.934168354034064,12.406578903656724,center
46,s7b4,mixed_urban_natural,anchor_success,0,supporting_failure_case,,,,18.667901895561297,17.57370111194292,center
