source_name,path,exists,rows,schema_ok,missing_columns
uav_index,outputs/satloc/metadata/uav_frames_index_enriched.csv,True,2959,True,
satellite_index,outputs/satloc/metadata/satellite_tiles_index_enriched.csv,True,8625,True,
query_manifest,outputs/satloc/metadata/s7_retrieval_upgrade/s7_0_query_manifest.csv,True,263,True,
scene_labels,outputs/satloc/metadata/s7_retrieval_upgrade/s7_scene_labels_canonical_traj01.csv,True,1034,True,
s4c6_by_token,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_failure_analysis/s4c6c_failure_groups_by_token.csv,True,73,True,
s4c6_summary,outputs/satloc/metadata/s4c_macrocontour_phog_chamfer/s4c6_failure_analysis/s4c6c_failure_group_summary.csv,True,6,True,
s7b4_failures,outputs/satloc/metadata/s7b_failure_rescue/s7b4_failure_token_diagnostics_center_resize_k32_img224_top100.csv,True,263,True,
s7b4_anchor_misses,outputs/satloc/metadata/s7b_failure_rescue/s7b4_anchor_miss_shortlist_center_resize_k32_img224_top100.csv,True,57,True,
s7b4_budget_recall,outputs/satloc/metadata/s7b_failure_rescue/s7b4_budget_recall_curves_center_resize_k32_img224_top100.csv,True,12,True,
s7b4_scene_recall,outputs/satloc/metadata/s7b_failure_rescue/s7b4_scene_budget_recall_center_resize_k32_img224_top100.csv,True,10,True,
dinovlad_center,outputs/satloc/metadata/s7b_dinov2_vlad/s7b2_dinov2_vlad_candidate_scores_torch_hub_dinov2_vits14_vlad_k32_img224_top100_q263_sat8625_cb500_full263_k32_cb500_img224.csv,True,26300,True,
dinovlad_resize,outputs/satloc/metadata/s7b_dinov2_vlad/s7b2_dinov2_vlad_candidate_scores_torch_hub_dinov2_vits14_vlad_k32_img224_top100_q263_sat8625_cb500_full263_k32_cb500_img224_resize_square.csv,True,26300,True,
