token,primary_scene,anchor_stream,anchor_hit_at_100,anchor_top1_error_m,anchor_best_error_m_available,anchor_best_rank_available,center_present,center_hit_at_100,center_top1_error_m_x,center_best_error_m_available,center_best_rank_available,resize_present,resize_hit_at_100,resize_top1_error_m_x,resize_best_error_m_available,resize_best_rank_available,any_stream_hit_at_100,rescued_by_non_anchor_at_100,rescue_streams_at_100,best_stream_available,best_error_any_stream_available_m,best_rank_any_stream_available,best_tile_any_stream_available,dino_failure_group,classical_failure_group,phog_top1_error_m,lsd_top1_error_m,oracle_best_top50_error_m,phog_top1_tile_id,lsd_top1_tile_id,oracle_best_top50_tile_id,rot_best_error_m,rot_best_angle_deg,uav_junction_count,uav_luma_lsd_line_count,selection_gap_to_oracle_m,center_top1_tile_id,center_top1_error_m_y,center_top1_rank,center_top1_sat_path,center_best_tile_id,center_best_error_m,center_best_rank,center_best_sat_path,resize_top1_tile_id,resize_top1_error_m_y,resize_top1_rank,resize_top1_sat_path,resize_best_tile_id,resize_best_error_m,resize_best_rank,resize_best_sat_path,query_image_path_from_manifest,query_image_path,s7b4_visual_panel_path,s4c4c_panel_path,has_s7b4_visual_panel,has_s4c4c_panel,has_classical_record,classical_failed,dino_success_any,dino_center_success,dino_resize_success,dino_resize_rescue,dino_unresolved,near_pool_miss,pool_failure_or_far_ambiguity,agricultural_open_field,orientation_range,classical_fail_dino_success,recommended_role,selection_priority_score
614,agricultural_open_field,center,False,1892.0315694482745,119.5105684372932,39,True,False,1892.0315694482745,119.5105684372932,39,True,False,1563.2727835570226,119.5105684372932,40,False,False,,center,119.5105684372932,39,3185,pool_failure_or_far_ambiguity,candidate_pool_failure,2389.2387812642114,1838.901562375016,299.5658202069394,8237.0,3504.0,3173.0,1838.901562375016,0.0,11.0,89.0,1539.3357421680766,4128,1892.0315694482745,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04128.jpg,3185,119.5105684372932,39,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03185.jpg,1389,1563.2727835570226,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01389.jpg,3185,119.5105684372932,40,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03185.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/614@31029@112.820188@28.298182.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/614@31029@112.820188@28.298182.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0614_agricultural_open_field.png,,True,False,True,True,False,False,False,False,True,False,True,True,False,False,hardest_failure,128.0
631,agricultural_open_field,center,False,898.6969321131197,494.4341168629125,65,True,False,898.6969321131197,494.4341168629125,65,True,False,1839.207156223704,171.39795021579445,93,False,False,,resize,171.39795021579445,93,3799,pool_failure_or_far_ambiguity,candidate_pool_failure,2416.0874741806747,392.711689792674,172.518609182532,8234.0,3666.0,3172.0,392.711689792674,0.0,19.0,70.0,220.193080610142,5322,898.6969321131197,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05322.jpg,3663,494.4341168629125,65,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03663.jpg,7260,1839.207156223704,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07260.jpg,3799,171.39795021579445,93,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03799.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/631@48045@112.818498@28.297825.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/631@48045@112.818498@28.297825.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0631_agricultural_open_field.png,,True,False,True,True,False,False,False,False,True,False,True,True,False,False,hardest_failure,128.0
606,agricultural_open_field,center,False,2023.268516092353,43.08892851359237,21,True,False,2023.268516092353,43.08892851359237,21,True,False,2001.1566210561748,111.52223705245562,64,False,False,,center,43.08892851359237,21,3060,near_pool_miss_40_100m,,,,,,,,,,,,,5364,2023.268516092353,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05364.jpg,3060,43.08892851359237,21,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03060.jpg,5488,2001.1566210561748,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05488.jpg,2811,111.52223705245562,64,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02811.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/606@23021@112.820983@28.298350.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/606@23021@112.820983@28.298350.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0606_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
611,agricultural_open_field,center,False,877.4695273239146,304.9202340651194,95,True,False,877.4695273239146,304.9202340651194,95,True,False,1929.388157715068,91.01698890630736,31,False,False,,resize,91.01698890630736,31,3185,near_pool_miss_40_100m,,,,,,,,,,,,,1287,877.4695273239146,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01287.jpg,4185,304.9202340651194,95,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04185.jpg,1878,1929.3881577150676,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01878.jpg,3185,91.01698890630736,31,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03185.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/611@28026@112.820486@28.298245.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/611@28026@112.820486@28.298245.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0611_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
616,agricultural_open_field,center,False,1145.0679665443752,287.99298784709345,23,True,False,1145.0679665443752,287.99298784709345,23,True,False,1145.0679665443752,78.20045946143044,83,False,False,,resize,78.20045946143044,83,2930,near_pool_miss_40_100m,,,,,,,,,,,,,6451,1145.0679665443752,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06451.jpg,4183,287.99298784709345,23,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04183.jpg,6451,1145.0679665443752,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06451.jpg,2930,78.20045946143044,83,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02930.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/616@33031@112.819989@28.298140.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/616@33031@112.819989@28.298140.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0616_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
621,agricultural_open_field,center,False,956.4492993521372,126.5259441671768,86,True,False,956.4492993521372,126.5259441671768,86,True,False,1166.3458971593247,82.30279620331399,75,False,False,,resize,82.30279620331399,75,2930,near_pool_miss_40_100m,,,,,,,,,,,,,6070,956.4492993521372,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06070.jpg,3058,126.5259441671768,86,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03058.jpg,6451,1166.3458971593247,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06451.jpg,2930,82.30279620331399,75,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02930.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/621@38035@112.819492@28.298035.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/621@38035@112.819492@28.298035.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0621_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
646,agricultural_open_field,center,False,791.6543648992547,170.1750426619666,93,True,False,791.6543648992547,170.1750426619666,93,True,False,1396.1382414391032,71.83123580960996,77,False,False,,resize,71.83123580960996,77,3425,near_pool_miss_40_100m,,,,,,,,,,,,,2156,791.6543648992547,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02156.jpg,3799,170.1750426619666,93,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03799.jpg,7942,1396.1382414391032,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07942.jpg,3425,71.83123580960996,77,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03425.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/646@63059@112.818486@28.297819.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/646@63059@112.818486@28.297819.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0646_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
651,agricultural_open_field,center,False,798.2834059692977,158.03241389409936,85,True,False,798.2834059692977,158.03241389409936,85,True,False,1349.523190416787,58.365770990424096,81,False,False,,resize,58.365770990424096,81,3176,near_pool_miss_40_100m,,,,,,,,,,,,,2156,798.2834059692977,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02156.jpg,3799,158.03241389409936,85,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03799.jpg,7817,1349.523190416787,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07817.jpg,3176,58.365770990424096,81,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03176.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/651@68064@112.818490@28.297680.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/651@68064@112.818490@28.297680.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0651_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
626,agricultural_open_field,center,False,868.7298550940312,202.7203143198335,52,True,False,868.7298550940312,202.7203143198335,52,True,False,868.7298550940312,237.43742700947,20,False,False,,center,202.7203143198335,52,3184,pool_failure_or_far_ambiguity,,,,,,,,,,,,,2529,868.7298550940312,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02529.jpg,3184,202.7203143198335,52,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03184.jpg,2529,868.7298550940312,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02529.jpg,3185,237.43742700947,20,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03185.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/626@43040@112.818994@28.297930.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/626@43040@112.818994@28.297930.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0626_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,False,True,True,False,False,hardest_failure,73.0
636,agricultural_open_field,center,False,767.2763006718008,139.05244287858756,65,True,False,767.2763006718008,139.05244287858756,65,True,False,712.4795712210449,295.6316193238344,77,False,False,,center,139.05244287858756,65,3801,pool_failure_or_far_ambiguity,,,,,,,,,,,,,2780,767.2763006718008,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02780.jpg,3801,139.05244287858756,65,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03801.jpg,5669,712.4795712210449,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05669.jpg,3185,295.6316193238344,77,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03185.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/636@53050@112.818412@28.297804.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/636@53050@112.818412@28.297804.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0636_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,False,True,True,False,False,hardest_failure,73.0
