token,primary_scene,anchor_stream,anchor_hit_at_100,anchor_top1_error_m,anchor_best_error_m_available,anchor_best_rank_available,center_present,center_hit_at_100,center_top1_error_m_x,center_best_error_m_available,center_best_rank_available,resize_present,resize_hit_at_100,resize_top1_error_m_x,resize_best_error_m_available,resize_best_rank_available,any_stream_hit_at_100,rescued_by_non_anchor_at_100,rescue_streams_at_100,best_stream_available,best_error_any_stream_available_m,best_rank_any_stream_available,best_tile_any_stream_available,dino_failure_group,classical_failure_group,phog_top1_error_m,lsd_top1_error_m,oracle_best_top50_error_m,phog_top1_tile_id,lsd_top1_tile_id,oracle_best_top50_tile_id,rot_best_error_m,rot_best_angle_deg,uav_junction_count,uav_luma_lsd_line_count,selection_gap_to_oracle_m,center_top1_tile_id,center_top1_error_m_y,center_top1_rank,center_top1_sat_path,center_best_tile_id,center_best_error_m,center_best_rank,center_best_sat_path,resize_top1_tile_id,resize_top1_error_m_y,resize_top1_rank,resize_top1_sat_path,resize_best_tile_id,resize_best_error_m,resize_best_rank,resize_best_sat_path,query_image_path_from_manifest,query_image_path,s7b4_visual_panel_path,s4c4c_panel_path,has_s7b4_visual_panel,has_s4c4c_panel,has_classical_record,classical_failed,dino_success_any,dino_center_success,dino_resize_success,dino_resize_rescue,dino_unresolved,near_pool_miss,pool_failure_or_far_ambiguity,agricultural_open_field,orientation_range,classical_fail_dino_success,recommended_role,selection_priority_score
794,water_wetland,center,False,560.5918361433577,83.45339633204394,34,True,False,560.5918361433577,83.45339633204394,34,True,False,490.85787104166815,83.45339633204394,2,False,False,,center,83.45339633204394,34,4284,near_pool_miss_40_100m,candidate_pool_failure,3001.155104355888,350.27954718769814,350.27954718769814,8112.0,3666.0,3666.0,,,31.0,103.0,0.0,2156,560.5918361433577,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02156.jpg,4284,83.45339633204394,34,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04284.jpg,2406,490.85787104166815,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02406.jpg,4284,83.45339633204394,2,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04284.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/794@211199@112.811357@28.295615.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/794@211199@112.811357@28.295615.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0794_water_wetland.png,,True,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,108.0
1015,mixed_urban_natural,center,False,1066.105785365984,231.0359769331189,20,True,False,1066.105785365984,231.0359769331189,20,True,False,1036.8086530057765,96.23632251625702,76,False,False,,resize,96.23632251625702,76,4798,near_pool_miss_40_100m,selection_failure_correct_in_pool,1184.921590682784,1184.921590682784,23.22839645619862,8189.0,8189.0,4671.0,,,15.0,82.0,1161.693194226585,2520,1066.105785365984,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02520.jpg,3794,231.03597693311892,20,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03794.jpg,2521,1036.8086530057765,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02521.jpg,4798,96.23632251625702,76,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04798.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/1015@141133@112.816335@28.294566.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/1015@141133@112.816335@28.294566.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_1015_mixed_urban_natural.png,,True,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,108.0
387,forest_canopy,center,False,354.94121578048646,45.95811957410671,26,True,False,354.94121578048646,45.95811957410671,26,True,False,1625.958730178921,59.79906377868341,56,False,False,,center,45.95811957410671,26,6543,near_pool_miss_40_100m,candidate_pool_failure,1889.0252539995129,1007.5835985539868,945.3051082906984,6847.0,5194.0,4150.0,1007.5835985539868,0.0,3.0,71.0,62.2784902632884,6408,354.94121578048646,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06408.jpg,6543,45.95811957410671,26,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06543.jpg,1310,1625.958730178921,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01310.jpg,6544,59.79906377868341,56,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06544.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/387@95089@112.815310@28.289247.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/387@95089@112.815310@28.289247.png,,,False,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,90.0
653,water_wetland,center,False,806.4163124267833,143.9356290182649,54,True,False,806.4163124267833,143.9356290182649,54,True,False,1825.6344543406149,63.654578232604045,32,False,False,,resize,63.654578232604045,32,3425,near_pool_miss_40_100m,candidate_pool_failure,1415.8173459911295,1086.7336229188195,462.83052012042737,5766.0,407.0,2665.0,,,24.0,80.0,623.9031027983922,2156,806.4163124267833,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02156.jpg,3799,143.9356290182649,54,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03799.jpg,7134,1825.6344543406149,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07134.jpg,3425,63.654578232604045,32,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03425.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/653@70066@112.818492@28.297511.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/653@70066@112.818492@28.297511.png,,,False,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,90.0
963,mixed_urban_natural,center,False,747.4733049380794,52.56451272407397,99,True,False,747.4733049380794,52.56451272407397,99,True,False,1427.315276493899,52.56451272407397,6,False,False,,center,52.56451272407397,99,4541,near_pool_miss_40_100m,candidate_pool_failure,1502.9656075869937,485.1262633542988,144.58224024311232,2627.0,3050.0,4915.0,,,1.0,51.0,340.5440231111865,2776,747.4733049380794,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02776.jpg,4541,52.56451272407397,99,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04541.jpg,7007,1427.315276493899,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07007.jpg,4541,52.56451272407397,6,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04541.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/963@89084@112.815157@28.294785.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/963@89084@112.815157@28.294785.png,,,False,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,90.0
971,mixed_urban_natural,center,False,1531.4524440003368,56.94891777228062,63,True,False,1531.4524440003368,56.94891777228062,63,True,False,989.5180696643824,91.18892114033802,8,False,False,,center,56.94891777228062,63,5043,near_pool_miss_40_100m,candidate_pool_failure,952.8332840430222,894.0192820357336,295.2176792210381,4016.0,5193.0,3793.0,,,14.0,62.0,598.8016028146955,763,1531.4524440003368,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/00763.jpg,5043,56.94891777228062,63,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05043.jpg,2521,989.5180696643824,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02521.jpg,5167,91.18892114033802,8,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05167.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/971@97091@112.815175@28.293917.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/971@97091@112.815175@28.293917.png,,,False,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,90.0
1024,mixed_urban_natural,center,False,1131.1198967336195,56.19752823678269,98,True,False,1131.1198967336195,56.19752823678269,98,True,False,1256.9774915200742,48.61666069903707,42,False,False,,resize,48.61666069903707,42,4172,near_pool_miss_40_100m,candidate_pool_failure,1985.3949093318915,1763.2202759250763,207.49336468103115,7098.0,6875.0,3791.0,,,2.0,43.0,1555.7269112440451,7688,1131.1198967336195,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07688.jpg,4046,56.19752823678269,98,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04046.jpg,8065,1256.9774915200742,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/08065.jpg,4172,48.61666069903707,42,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04172.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/1024@150141@112.816322@28.295441.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/1024@150141@112.816322@28.295441.png,,,False,False,True,True,False,False,False,False,True,True,False,False,False,False,near_miss_multitile,90.0
606,agricultural_open_field,center,False,2023.268516092353,43.08892851359237,21,True,False,2023.268516092353,43.08892851359237,21,True,False,2001.1566210561748,111.52223705245562,64,False,False,,center,43.08892851359237,21,3060,near_pool_miss_40_100m,,,,,,,,,,,,,5364,2023.268516092353,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05364.jpg,3060,43.08892851359237,21,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03060.jpg,5488,2001.1566210561748,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05488.jpg,2811,111.52223705245562,64,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02811.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/606@23021@112.820983@28.298350.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/606@23021@112.820983@28.298350.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0606_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
611,agricultural_open_field,center,False,877.4695273239146,304.9202340651194,95,True,False,877.4695273239146,304.9202340651194,95,True,False,1929.388157715068,91.01698890630736,31,False,False,,resize,91.01698890630736,31,3185,near_pool_miss_40_100m,,,,,,,,,,,,,1287,877.4695273239146,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01287.jpg,4185,304.9202340651194,95,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04185.jpg,1878,1929.3881577150676,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01878.jpg,3185,91.01698890630736,31,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03185.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/611@28026@112.820486@28.298245.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/611@28026@112.820486@28.298245.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0611_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
616,agricultural_open_field,center,False,1145.0679665443752,287.99298784709345,23,True,False,1145.0679665443752,287.99298784709345,23,True,False,1145.0679665443752,78.20045946143044,83,False,False,,resize,78.20045946143044,83,2930,near_pool_miss_40_100m,,,,,,,,,,,,,6451,1145.0679665443752,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06451.jpg,4183,287.99298784709345,23,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04183.jpg,6451,1145.0679665443752,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06451.jpg,2930,78.20045946143044,83,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02930.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/616@33031@112.819989@28.298140.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/616@33031@112.819989@28.298140.png,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s7b_failure_rescue/visual_diagnostics/center_resize_k32_img224_top100/s7b4_visual_token_0616_agricultural_open_field.png,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,hardest_failure,83.0
