token,primary_scene,anchor_stream,anchor_hit_at_100,anchor_top1_error_m,anchor_best_error_m_available,anchor_best_rank_available,center_present,center_hit_at_100,center_top1_error_m_x,center_best_error_m_available,center_best_rank_available,resize_present,resize_hit_at_100,resize_top1_error_m_x,resize_best_error_m_available,resize_best_rank_available,any_stream_hit_at_100,rescued_by_non_anchor_at_100,rescue_streams_at_100,best_stream_available,best_error_any_stream_available_m,best_rank_any_stream_available,best_tile_any_stream_available,dino_failure_group,classical_failure_group,phog_top1_error_m,lsd_top1_error_m,oracle_best_top50_error_m,phog_top1_tile_id,lsd_top1_tile_id,oracle_best_top50_tile_id,rot_best_error_m,rot_best_angle_deg,uav_junction_count,uav_luma_lsd_line_count,selection_gap_to_oracle_m,center_top1_tile_id,center_top1_error_m_y,center_top1_rank,center_top1_sat_path,center_best_tile_id,center_best_error_m,center_best_rank,center_best_sat_path,resize_top1_tile_id,resize_top1_error_m_y,resize_top1_rank,resize_top1_sat_path,resize_best_tile_id,resize_best_error_m,resize_best_rank,resize_best_sat_path,query_image_path_from_manifest,query_image_path,s7b4_visual_panel_path,s4c4c_panel_path,has_s7b4_visual_panel,has_s4c4c_panel,has_classical_record,classical_failed,dino_success_any,dino_center_success,dino_resize_success,dino_resize_rescue,dino_unresolved,near_pool_miss,pool_failure_or_far_ambiguity,agricultural_open_field,orientation_range,classical_fail_dino_success,recommended_role,selection_priority_score
269,mixed_urban_natural,center,False,983.1776019382988,81.04233403105272,64,True,False,983.1776019382988,81.04233403105272,64,True,True,69.46419704770614,34.95922456851512,10,True,True,resize,resize,34.95922456851512,10,4148,non_anchor_rescue,lsd_destroyed_phog_success,7.532041265892122,803.6803916276192,7.532041265892122,4149.0,6905.0,4149.0,,,17.0,59.0,796.1483503617271,1753,983.1776019382988,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01753.jpg,4272,81.04233403105272,64,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04272.jpg,4147,69.46419704770614,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04147.jpg,4148,34.95922456851512,10,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04148.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/269@268253@112.808563@28.295693.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/269@268253@112.808563@28.295693.png,,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0269_luma_lsd_panel_top5.png,False,True,True,True,True,False,True,True,False,False,False,False,False,True,hero_candidate,318.26019385787123
67,mixed_urban_natural,center,False,2215.68595243916,40.43887640446186,43,True,False,2215.68595243916,40.43887640446186,43,True,True,86.45369153537484,8.48284855639311,57,True,True,resize,resize,8.48284855639311,57,921,non_anchor_rescue,candidate_pool_failure,1448.174892187096,1029.637601726114,251.31967992334023,1587.0,3070.0,928.0,,,16.0,79.0,778.3179218027739,1734,2215.68595243916,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01734.jpg,796,40.43887640446186,43,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/00796.jpg,798,86.45369153537484,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/00798.jpg,921,8.48284855639311,57,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/00921.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/67@66062@112.816345@28.303746.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/67@66062@112.816345@28.303746.png,,,False,False,True,True,True,False,True,True,False,False,False,False,False,True,hero_candidate,312.87928786090174
434,forest_canopy,center,False,560.165531747896,41.65911799393961,11,True,False,560.165531747896,41.65911799393961,11,True,True,181.1457398956004,8.984021297953621,35,True,True,resize,resize,8.984021297953621,35,6684,non_anchor_rescue,weak_pool_near_candidate,1868.2082212474063,239.6545761729081,75.55291917806296,8236.0,6802.0,6557.0,,,5.0,42.0,164.10165699484514,6074,560.165531747896,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06074.jpg,6559,41.65911799393961,11,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06559.jpg,6689,181.1457398956004,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06689.jpg,6684,8.984021297953621,35,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06684.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/434@142134@112.820985@28.289289.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/434@142134@112.820985@28.289289.png,,,False,False,True,True,True,False,True,True,False,False,False,False,False,True,hero_candidate,312.7539946755116
129,mixed_urban_natural,center,True,287.7497958179088,16.66491174479303,86,True,True,287.7497958179088,16.66491174479303,86,True,True,1109.3388470060872,19.137543730127,35,True,False,,center,16.66491174479303,86,530,anchor_success,selection_failure_correct_in_pool,211.91783012332223,310.61293114300105,16.66488872626882,1034.0,1286.0,530.0,,,5.0,58.0,293.9480424167322,1285,287.7497958179088,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01285.jpg,530,16.66491174479303,86,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/00530.jpg,1311,1109.3388470060872,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/01311.jpg,405,19.137543730126996,35,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/00405.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/129@128120@112.810670@28.304878.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/129@128120@112.810670@28.304878.png,,/Users/harishprabhu/Documents/drone-localisation/outputs/satloc/figures/s4c_macrocontour_phog_chamfer/s4c4_vector_skeleton/s4c4c_luma_lsd_rerank/s4c4c_token0129_luma_lsd_panel_top5.png,False,True,True,True,True,True,True,False,False,False,False,False,False,True,hero_candidate,242.83377206380175
276,mixed_urban_natural,center,True,667.3772732806058,2.081397906987045,47,True,True,667.3772732806058,2.081397906987045,47,True,False,96.71472521738058,76.26734889160986,36,True,False,,center,2.081397906987045,47,4399,anchor_success,selection_failure_correct_in_pool,595.6549828821225,1607.5899516328188,2.0813950320417844,2532.0,7687.0,4399.0,,,16.0,49.0,1605.508556600777,2760,667.3772732806058,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02760.jpg,4399,2.081397906987045,47,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04399.jpg,4647,96.71472521738058,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04647.jpg,4522,76.26734889160986,36,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04522.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/276@275259@112.808559@28.294982.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/276@275259@112.808559@28.294982.png,,,False,False,True,True,True,True,False,False,False,False,False,False,False,True,hero_candidate,234.47965052325324
679,water_wetland,center,True,731.5058531000211,2.753539811239256,3,True,True,731.5058531000211,2.753539811239256,3,True,True,693.1185835595505,2.753539811239256,3,True,False,,center,2.753539811239256,3,4552,anchor_success,candidate_pool_failure,2266.73857584922,1753.1964400540949,286.6723308605701,8235.0,2629.0,3554.0,,,18.0,112.0,1466.5241091935247,5322,731.5058531000211,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/05322.jpg,4552,2.753539811239256,3,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04552.jpg,3783,693.1185835595505,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03783.jpg,4552,2.753539811239256,3,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04552.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/679@96090@112.818534@28.294700.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/679@96090@112.818534@28.294700.png,,,False,False,True,True,True,True,True,False,False,False,False,False,False,True,hero_candidate,234.31161504719017
546,urban,center,True,4.3442977682233685,4.3442977682233685,1,True,True,4.3442977682233685,4.3442977682233685,1,True,True,4.3442977682233685,4.3442977682233685,1,True,False,,center,4.3442977682233685,1,3066,anchor_success,selection_failure_correct_in_pool,170.55953629253642,205.4692727167489,4.344291767632046,3071.0,3072.0,3066.0,,,12.0,120.0,201.12498094911683,3066,4.3442977682233685,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03066.jpg,3066,4.3442977682233685,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03066.jpg,3066,4.3442977682233685,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03066.jpg,3066,4.3442977682233685,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03066.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/546@254239@112.823588@28.298467.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/546@254239@112.823588@28.298467.png,,,False,False,True,True,True,True,True,False,False,False,False,False,False,True,hero_candidate,233.91392555794417
450,forest_canopy,center,True,359.85586243593605,4.729224158810898,36,True,True,359.85586243593605,4.729224158810898,36,True,True,4.729224158810898,4.729224158810898,1,True,False,,center,4.729224158810898,36,6689,anchor_success,candidate_pool_failure,352.3369422017206,1234.3774936461573,352.3369422017206,6804.0,7973.0,6804.0,,,15.0,57.0,882.0405514444367,7942,359.85586243593605,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/07942.jpg,6689,4.729224158810898,36,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06689.jpg,6689,4.729224158810898,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06689.jpg,6689,4.729224158810898,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06689.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/450@158149@112.822853@28.289306.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/450@158149@112.822853@28.289306.png,,,False,False,True,True,True,True,True,False,False,False,False,False,False,True,hero_candidate,233.81769396029728
662,water_wetland,center,True,841.1433256289968,4.813689525890805,26,True,True,841.1433256289968,4.813689525890805,26,True,True,859.1281339403462,4.813689525890805,5,True,False,,center,4.813689525890805,26,3802,anchor_success,candidate_pool_failure,1819.3299381571749,381.16211205263295,250.4481330448639,3125.0,3666.0,3048.0,381.16211205263295,0.0,32.0,111.0,130.71397900776904,2281,841.1433256289968,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02281.jpg,3802,4.813689525890805,26,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03802.jpg,2156,859.1281339403462,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/02156.jpg,3802,4.813689525890805,5,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/03802.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/662@79074@112.818508@28.296555.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/662@79074@112.818508@28.296555.png,,,False,False,True,True,True,True,True,False,False,False,False,False,False,True,hero_candidate,233.7965776185273
503,forest_canopy,center,True,31.25350202423707,4.883082042178407,3,True,True,31.25350202423707,4.883082042178407,3,True,True,644.7284013728532,31.25350202423707,23,True,False,,center,4.883082042178407,3,4816,anchor_success,candidate_pool_failure,1816.1017078345512,528.3862445495192,528.3862445495192,8360.0,6449.0,6449.0,,,27.0,100.0,0.0,4817,31.25350202423707,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04817.jpg,4816,4.883082042178407,3,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04816.jpg,6302,644.7284013728532,1,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/06302.jpg,4817,31.25350202423707,23,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/Satellite Data/sat_image_ref/04817.jpg,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/503@211199@112.823586@28.294028.png,/Users/harishprabhu/Documents/drone-localisation/data/raw/satloc/part_1/UAV Data/traj01/503@211199@112.823586@28.294028.png,,,False,False,True,True,True,True,True,False,False,False,False,False,False,True,hero_candidate,233.7792294894554
