pair_index,imgid_1,imgid_2,image_1,image_2,timestamp_1,timestamp_2,ref_dx_m,ref_dy_m,ref_dz_m,ref_step_distance_m,kp1,kp2,raw_matches,good_matches,homography_found,ransac_inliers,inlier_ratio,mean_match_distance,median_match_distance,status,error,pair_quality
0,1,2,data/raw/zurich_mav_sample/MAV_Images/00001.jpg,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,7009129,7042462,0.0,0.0,0.0,0.0,2000,2000,2000,1135,True,898,0.7911894273127753,22.612334801762113,21.0,ok,,good
1,2,3,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,7042462,7075795,0.0,0.0,0.0,0.0,2000,2000,2000,1194,True,951,0.7964824120603015,22.168341708542712,21.0,ok,,good
2,3,4,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,7075795,7109128,0.0,0.0,0.0,0.0,2000,2000,2000,1238,True,963,0.7778675282714055,21.41760904684976,20.0,ok,,good
3,4,5,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,7109128,7142461,0.0,0.0,0.0,0.0,2000,2000,2000,1161,True,1029,0.8863049095607235,22.19810508182601,21.0,ok,,good
4,5,6,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,7142461,7175794,0.0,0.0,0.0,0.0,2000,2000,2000,1176,True,776,0.6598639455782312,21.042517006802722,20.0,ok,,good
5,6,7,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,7175794,7206967,0.0137972316588275,-0.2223553406074643,0.2539999999999622,0.2227829910430974,2000,2000,2000,1119,True,981,0.8766756032171582,22.245755138516532,21.0,ok,,good
6,7,8,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,7206967,7240300,0.0,0.0,0.0,0.0,2000,2000,2000,950,True,629,0.6621052631578948,23.021052631578947,22.0,ok,,good
7,8,9,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,7240300,7273633,0.0,0.0,0.0,0.0,2000,2000,2000,946,True,677,0.7156448202959831,22.63953488372093,21.0,ok,,good
8,9,10,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,7273633,7306966,0.0,0.0,0.0,0.0,2000,2000,2000,1257,True,949,0.7549721559268099,21.36276849642005,20.0,ok,,good
9,10,11,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,data/raw/zurich_mav_sample/MAV_Images/00011.jpg,7306966,7340299,0.0,0.0,0.0,0.0,2000,2000,2000,1263,True,973,0.770387965162312,21.67458432304038,20.0,ok,,good
10,11,12,data/raw/zurich_mav_sample/MAV_Images/00011.jpg,data/raw/zurich_mav_sample/MAV_Images/00012.jpg,7340299,7373632,0.0,0.0,0.0,0.0,2000,2000,2000,1325,True,1026,0.7743396226415095,20.897358490566038,19.0,ok,,good
11,12,13,data/raw/zurich_mav_sample/MAV_Images/00012.jpg,data/raw/zurich_mav_sample/MAV_Images/00013.jpg,7373632,7402809,0.0439886193489656,-0.22253171913325787,0.31400000000002143,0.22683774961992406,2000,2000,2000,1304,True,1113,0.8535276073619632,21.021472392638035,20.0,ok,,good
12,13,14,data/raw/zurich_mav_sample/MAV_Images/00013.jpg,data/raw/zurich_mav_sample/MAV_Images/00014.jpg,7402809,7436142,0.0,0.0,0.0,0.0,2000,2000,2000,1282,True,1018,0.7940717628705148,21.269890795631824,19.0,ok,,good
13,14,15,data/raw/zurich_mav_sample/MAV_Images/00014.jpg,data/raw/zurich_mav_sample/MAV_Images/00015.jpg,7436142,7469475,0.0,0.0,0.0,0.0,2000,2000,2000,1315,True,1165,0.8859315589353612,19.979467680608366,19.0,ok,,good
14,15,16,data/raw/zurich_mav_sample/MAV_Images/00015.jpg,data/raw/zurich_mav_sample/MAV_Images/00016.jpg,7469475,7502808,0.0,0.0,0.0,0.0,2000,2000,2000,1292,True,1179,0.9125386996904025,20.648606811145513,19.5,ok,,good
15,16,17,data/raw/zurich_mav_sample/MAV_Images/00016.jpg,data/raw/zurich_mav_sample/MAV_Images/00017.jpg,7502808,7536141,0.0,0.0,0.0,0.0,2000,2000,2000,1253,True,872,0.6959297685554668,20.071029529130087,18.0,ok,,good
16,17,18,data/raw/zurich_mav_sample/MAV_Images/00017.jpg,data/raw/zurich_mav_sample/MAV_Images/00018.jpg,7536141,7569474,0.0,0.0,0.0,0.0,2000,2000,2000,1238,True,1047,0.845718901453958,19.466074313408726,17.0,ok,,good
17,18,19,data/raw/zurich_mav_sample/MAV_Images/00018.jpg,data/raw/zurich_mav_sample/MAV_Images/00019.jpg,7569474,7599573,0.05901939381146801,-0.23373326193541288,0.37299999999999034,0.24106954718678483,2000,2000,2000,1232,True,916,0.7435064935064936,22.171266233766232,20.0,ok,,good
18,19,20,data/raw/zurich_mav_sample/MAV_Images/00019.jpg,data/raw/zurich_mav_sample/MAV_Images/00020.jpg,7599573,7632906,0.0,0.0,0.0,0.0,2000,2000,2000,1248,True,1074,0.8605769230769231,20.760416666666668,19.0,ok,,good
19,20,21,data/raw/zurich_mav_sample/MAV_Images/00020.jpg,data/raw/zurich_mav_sample/MAV_Images/00021.jpg,7632906,7666239,0.0,0.0,0.0,0.0,2000,2000,2000,1182,True,837,0.7081218274111675,21.621827411167512,20.0,ok,,good
20,21,22,data/raw/zurich_mav_sample/MAV_Images/00021.jpg,data/raw/zurich_mav_sample/MAV_Images/00022.jpg,7666239,7699572,0.0,0.0,0.0,0.0,2000,2000,2000,1185,True,1053,0.8886075949367088,22.013502109704643,20.0,ok,,good
21,22,23,data/raw/zurich_mav_sample/MAV_Images/00022.jpg,data/raw/zurich_mav_sample/MAV_Images/00023.jpg,7699572,7732905,0.0,0.0,0.0,0.0,2000,2000,2000,1177,True,1004,0.8530161427357689,21.724723874256586,20.0,ok,,good
22,23,24,data/raw/zurich_mav_sample/MAV_Images/00023.jpg,data/raw/zurich_mav_sample/MAV_Images/00024.jpg,7732905,7766238,0.0,0.0,0.0,0.0,2000,2000,2000,1209,True,951,0.7866004962779156,20.547559966914804,19.0,ok,,good
23,24,25,data/raw/zurich_mav_sample/MAV_Images/00024.jpg,data/raw/zurich_mav_sample/MAV_Images/00025.jpg,7766238,7798438,0.014381543209310593,-0.12233512289822102,0.3960000000000151,0.12317755915589539,2000,2000,2000,1236,True,878,0.7103559870550162,21.32443365695793,20.0,ok,,good
24,25,26,data/raw/zurich_mav_sample/MAV_Images/00025.jpg,data/raw/zurich_mav_sample/MAV_Images/00026.jpg,7798438,7831771,0.0,0.0,0.0,0.0,2000,2000,2000,1261,True,1020,0.8088818398096749,21.582870737509914,20.0,ok,,good
25,26,27,data/raw/zurich_mav_sample/MAV_Images/00026.jpg,data/raw/zurich_mav_sample/MAV_Images/00027.jpg,7831771,7865104,0.0,0.0,0.0,0.0,2000,2000,2000,1190,True,995,0.8361344537815126,20.894957983193276,19.0,ok,,good
26,27,28,data/raw/zurich_mav_sample/MAV_Images/00027.jpg,data/raw/zurich_mav_sample/MAV_Images/00028.jpg,7865104,7898437,0.0,0.0,0.0,0.0,2000,2000,2000,1195,True,918,0.7682008368200837,22.001673640167365,20.0,ok,,good
