imgid,image_path,image_filename,timestamp,x_enu_m,y_enu_m,z_enu_m,lat,lon,alt,quality_status,quality_error,image_width,image_height,brightness_mean,contrast_std,blur_score_laplacian_var,orb_keypoints,is_low_blur_score,is_low_feature_count,is_low_contrast,weak_frame_candidate
1,data/raw/zurich_mav_sample/MAV_Images/00001.jpg,00001.jpg,7009129,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,115.9671305941358,62.250254379992384,447.5584996294167,1000,True,False,False,True
2,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,00002.jpg,7042462,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,115.43197193287037,62.136284177750696,436.2555922926632,1000,True,False,False,True
3,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,00003.jpg,7075795,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.8741473765432,62.2701778728861,479.4219986700526,1000,True,False,False,True
4,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,00004.jpg,7109128,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.54390528549382,62.47362234569539,554.7622789528646,1000,True,False,False,True
5,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,00005.jpg,7142461,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.6809341242284,62.161952450675415,472.0240579458064,1000,True,False,False,True
6,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,00006.jpg,7175794,0.0,0.0,0.0,47.3843571,8.5451784,464.91,ok,,1920,1080,114.64290027006173,62.3433546008292,442.1638261661808,1000,True,False,False,True
7,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,00007.jpg,7206967,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.33556712962962,62.55097739583079,549.3321049490327,1000,True,False,False,True
8,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,00008.jpg,7240300,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.58073929398148,62.00639588047481,387.7867121082699,1000,True,False,False,True
9,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,00009.jpg,7273633,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.5957846257716,62.40407558308625,415.6847419701847,1000,True,False,False,True
10,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,00010.jpg,7306966,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.74646749614197,62.745754233239055,482.5686104113862,1000,True,False,False,True
11,data/raw/zurich_mav_sample/MAV_Images/00011.jpg,00011.jpg,7340299,0.0137972316588275,-0.2223553406074643,0.2539999999999622,47.3843551,8.5451786,465.164,ok,,1920,1080,114.9811680169753,62.78211072578811,488.56251682990353,1000,True,False,False,True
