imgid,image_path,image_filename,timestamp,lat,lon,alt,x_enu_m,y_enu_m,z_enu_m,reference_type,fix_type,num_sat,eph_m,epv_m,vel_n_m_s,vel_e_m_s,vel_d_m_s,has_reference
1,data/raw/zurich_mav_sample/MAV_Images/00001.jpg,00001.jpg,7009129,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True
2,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,00002.jpg,7042462,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True
3,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,00003.jpg,7075795,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True
4,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,00004.jpg,7109128,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True
5,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,00005.jpg,7142461,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True
6,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,00006.jpg,7175794,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True
7,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,00007.jpg,7206967,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True
8,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,00008.jpg,7240300,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True
9,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,00009.jpg,7273633,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True
10,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,00010.jpg,7306966,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True
11,data/raw/zurich_mav_sample/MAV_Images/00011.jpg,00011.jpg,7340299,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True
12,data/raw/zurich_mav_sample/MAV_Images/00012.jpg,00012.jpg,7373632,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True
13,data/raw/zurich_mav_sample/MAV_Images/00013.jpg,00013.jpg,7402809,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True
14,data/raw/zurich_mav_sample/MAV_Images/00014.jpg,00014.jpg,7436142,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True
15,data/raw/zurich_mav_sample/MAV_Images/00015.jpg,00015.jpg,7469475,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True
16,data/raw/zurich_mav_sample/MAV_Images/00016.jpg,00016.jpg,7502808,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True
17,data/raw/zurich_mav_sample/MAV_Images/00017.jpg,00017.jpg,7536141,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True
18,data/raw/zurich_mav_sample/MAV_Images/00018.jpg,00018.jpg,7569474,47.3843531,8.5451792,465.478,0.0577858510077931,-0.4448870597407222,0.5679999999999836,onboard_gps,3,6,12.24700069,1.7500000000000002e-43,-0.209999993,0.079999998,0.089999996,True
19,data/raw/zurich_mav_sample/MAV_Images/00019.jpg,00019.jpg,7599573,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True
20,data/raw/zurich_mav_sample/MAV_Images/00020.jpg,00020.jpg,7632906,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True
21,data/raw/zurich_mav_sample/MAV_Images/00021.jpg,00021.jpg,7666239,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True
22,data/raw/zurich_mav_sample/MAV_Images/00022.jpg,00022.jpg,7699572,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True
23,data/raw/zurich_mav_sample/MAV_Images/00023.jpg,00023.jpg,7732905,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True
24,data/raw/zurich_mav_sample/MAV_Images/00024.jpg,00024.jpg,7766238,47.384351,8.54518,465.851,0.1168052448192611,-0.6786203216761351,0.940999999999974,onboard_gps,3,6,11.97200012,1.7500000000000002e-43,0.259999991,0.340000004,0.550000012,True
25,data/raw/zurich_mav_sample/MAV_Images/00025.jpg,00025.jpg,7798438,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True
26,data/raw/zurich_mav_sample/MAV_Images/00026.jpg,00026.jpg,7831771,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True
27,data/raw/zurich_mav_sample/MAV_Images/00027.jpg,00027.jpg,7865104,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True
28,data/raw/zurich_mav_sample/MAV_Images/00028.jpg,00028.jpg,7898437,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True
29,data/raw/zurich_mav_sample/MAV_Images/00029.jpg,00029.jpg,7931770,47.3843499,8.5451802,466.247,0.1311867880285717,-0.8009554445743561,1.336999999999989,onboard_gps,3,6,11.72000027,1.7500000000000002e-43,0.289999992,0.370000005,0.379999995,True
