imgid,image_path,image_filename,timestamp,lat,lon,alt,x_enu_m,y_enu_m,z_enu_m,reference_type,fix_type,num_sat,eph_m,epv_m,vel_n_m_s,vel_e_m_s,vel_d_m_s,has_reference,gt_x_utm_m,gt_y_utm_m,gt_z_m,gt_omega_deg,gt_phi_deg,gt_kappa_deg,gt_x_gps_utm_m,gt_y_gps_utm_m,gt_z_gps_m,gt_z_minus_gps_z_m,gt_interpolated_by_imgid,pose_azimuth_raw,pose_height_m,pose_altitude_m,pose_veh_pitch_raw,pose_attitude_w,pose_attitude_x,pose_attitude_y,pose_attitude_z,pose_vel_x,pose_vel_y,pose_vel_z,pose_gps_on,barometer_pressure,barometer_altitude_m,barometer_temperature,barometer_error_count,height_agl_m,pose_azimuth_deg,yaw_deg,pose_veh_pitch_deg
1,data/raw/zurich_mav_sample/MAV_Images/00001.jpg,00001.jpg,7009129,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.057548,5247973.646622,469.019496,95.538828,-73.283629,9.170787,465670.706847,5247978.033438,464.910004,4.109491999999989,True,0.0,0.0,474.8624267578125,-0.1203673034906387,0.9967825412750244,0.0202503316104412,-0.061241615563631,0.0475814864039421,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.109491999999989,0.0,0.0,-6.8965384813838995
2,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,00002.jpg,7042462,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.0542015,5247973.645459067,469.04248913333333,95.5622825,-73.32005546666667,9.203052666666668,465670.71876756666,5247978.006695366,464.9571373666667,4.0853517666666335,True,0.0,0.0,474.8624267578125,-0.1066560745239257,0.9972867965698242,0.0183216631412506,-0.0543308295309543,0.0461677908897399,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.0853517666666335,0.0,0.0,-6.110942929653723
3,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,00003.jpg,7075795,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.05085500004,5247973.644296134,469.06548226666666,95.585737,-73.35648193333334,9.235318333333334,465670.73068813334,5247977.979952733,465.0042707333333,4.061211533333335,True,0.0,0.0,474.7752990722656,-0.0791323781013488,0.9981547594070436,0.0138249536976218,-0.0403874404728412,0.0431833192706108,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.061211533333335,0.0,0.0,-4.533951288040744
4,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,00004.jpg,7109128,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.0475085,5247973.643133201,469.0884754,95.6091915,-73.39290840000001,9.267584000000001,465670.7426087,5247977.9532101,465.0514041,4.03707129999998,True,0.0,0.0,474.8624267578125,-0.0591277554631233,0.998663067817688,0.0085247159004211,-0.029932914301753,0.0412743762135505,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.03707129999998,0.0,0.0,-3.3877708401185616
5,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,00005.jpg,7142461,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.044162,5247973.641970267,469.1114685333333,95.632646,-73.42933486666666,9.299849666666667,465670.7545292667,5247977.926467466,465.0985374666667,4.012931066666624,True,0.0,0.0,474.6881713867188,-0.0535283684730529,0.9987468123435974,0.0063983961008489,-0.0272325966507196,0.041501484811306,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.012931066666624,0.0,0.0,-3.066949597727066
6,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,00006.jpg,7175794,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.0408155,5247973.640807333,469.13446166666665,95.6561005,-73.46576133333333,9.332115333333334,465670.76644983335,5247977.899724834,465.1456708333333,3.9887908333333257,True,0.0,0.0,474.6881713867188,-0.0550404638051986,0.9985955357551576,0.0051383706741034,-0.027777262032032,0.0448233596980571,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,3.9887908333333257,0.0,0.0,-3.153586278480447
7,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,00007.jpg,7206967,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.03746900003,5247973.6396444,469.1574548,95.679555,-73.5021878,9.364381,465670.7783704,5247977.8729822,465.1928042,3.9646505999999704,True,0.0,0.0,474.7752990722656,-0.0660272017121315,0.9981375336647034,0.0081720696762204,-0.0333189330995082,0.0504449307918548,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,3.9646505999999704,0.0,0.0,-3.783079991164098
8,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,00008.jpg,7240300,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.0341225,5247973.638481467,469.1804479333333,95.7030095,-73.53861426666667,9.396646666666667,465670.7902909667,5247977.846239567,465.2399375666667,3.940510366666615,True,0.0,0.0,474.8624267578125,-0.0723317563533783,0.997858464717865,0.0107788955792784,-0.03654670342803,0.0531679093837738,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.34000015258789,0.0,3.940510366666615,0.0,0.0,-4.144304363817154
9,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,00009.jpg,7273633,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.030776,5247973.637318534,469.2034410666667,95.72646399999999,-73.57504073333334,9.428912333333335,465670.8022115333,5247977.819496933,465.2870709333333,3.9163701333333734,True,0.0,0.0,474.8624267578125,-0.0831057578325271,0.9973577857017516,0.015910618007183,-0.0422947704792022,0.0568826720118522,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.34000015258789,0.0,3.9163701333333734,0.0,0.0,-4.7616091770400875
10,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,00010.jpg,7306966,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.0274295,5247973.6361556,469.2264342,95.74991849999999,-73.6114672,9.461178,465670.8141321,5247977.7927543,465.3342043,3.892229900000018,True,0.0,0.0,474.60107421875,-0.0924397259950637,0.997056782245636,0.0197493191808462,-0.0470959022641181,0.0571817085146904,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.34000015258789,0.0,3.892229900000018,0.0,0.0,-5.296406158862914
