frame_index,imgid,timestamp,image_path,ref_x_enu_m,ref_y_enu_m,raw_x_px,raw_y_px,aligned_x_m,aligned_y_m,ref_x_rel_m,ref_y_rel_m,delta_x_img_px,delta_y_img_px,feature_dx_px,feature_dy_px,keypoints_prev,keypoints_curr,good_matches,ransac_inliers,inlier_ratio,homography_success,tracking_status,method_name,pair_from_frame_index,pair_to_frame_index,imgid_sync,image_path_sync,image_filename,timestamp_sync,lat,lon,alt,x_enu_m,y_enu_m,z_enu_m,reference_type,fix_type,num_sat,eph_m,epv_m,vel_n_m_s,vel_e_m_s,vel_d_m_s,has_reference,gt_x_utm_m,gt_y_utm_m,gt_z_m,gt_omega_deg,gt_phi_deg,gt_kappa_deg,gt_x_gps_utm_m,gt_y_gps_utm_m,gt_z_gps_m,gt_z_minus_gps_z_m,abs_gt_z_minus_gps_z_m,gt_interpolated_by_imgid,pose_azimuth_raw,pose_height_m,pose_altitude_m,pose_veh_pitch_raw,pose_attitude_w,pose_attitude_x,pose_attitude_y,pose_attitude_z,pose_vel_x,pose_vel_y,pose_vel_z,pose_gps_on,barometer_pressure,barometer_altitude_m,barometer_temperature,barometer_error_count,height_agl_m,height_agl_source,height_agl_quality,pose_azimuth_deg,yaw_deg,yaw_source,yaw_quality,pose_veh_pitch_deg,height_used_m,yaw_used_rad,yaw_used_deg,meters_per_px_x,meters_per_px_y,delta_east_m,delta_north_m,estimated_x_enu_m,estimated_y_enu_m,confidence,position_error_m,aligned_error_m
0,1,7009129,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00001.jpg,0.0,0.0,0.0,0.0,1.1431163689020392,-1.4152713675395527,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,False,start,orb_metric_scaling_pinhole_altitude_heading,,,1,data/raw/zurich_mav_sample/MAV_Images/00001.jpg,00001.jpg,7009129,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.057548,5247973.646622,469.019496,95.538828,-73.283629,9.170787,465670.706847,5247978.033438,464.910004,4.109491999999989,4.109491999999989,True,0.0,0.0,474.8624267578125,-0.1203673034906387,0.9967825412750244,0.0202503316104412,-0.061241615563631,0.0475814864039421,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.109491999999989,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.538828,gt_omega_deg,groundtruth_orientation_candidate,-6.8965384813839,4.109491999999989,1.667467112096549,95.538828,0.004599885271357649,0.004574608522960183,0.0,0.0,0.0,0.0,1.0,0.0,1.8192603102989573
1,2,7042462,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00002.jpg,0.0,0.0,1.199951171875,-2.0,1.1378350341244339,-1.3849101375912656,0.0,0.0,1.199951171875,-2.0,-1.199951171875,2.0,2000,2000,1135,898,0.7911894273127753,True,ok,orb_metric_scaling_pinhole_altitude_heading,0.0,1.0,2,data/raw/zurich_mav_sample/MAV_Images/00002.jpg,00002.jpg,7042462,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.0542015,5247973.645459067,469.0424891333333,95.5622825,-73.32005546666667,9.203052666666668,465670.71876756666,5247978.006695366,464.9571373666667,4.0853517666666335,4.0853517666666335,True,0.0,0.0,474.8624267578125,-0.1066560745239257,0.9972867965698242,0.0183216631412506,-0.0543308295309543,0.0461677908897399,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.0853517666666335,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.5622825,gt_omega_deg,groundtruth_orientation_candidate,-6.110942929653723,4.0853517666666335,1.667876470345958,95.56228250000001,0.0045728643393891134,0.00454773607323817,-0.009584508579089627,-0.004579773520610105,-0.009584508579089627,-0.004579773520610105,0.7911894273127753,0.010622482299478033,1.792385185746638
2,3,7075795,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00003.jpg,0.0,0.0,3.688232421875,-3.727996826171875,1.1154693061171874,-1.3518907282800103,0.0,0.0,2.48828125,-1.727996826171875,-2.48828125,1.727996826171875,2000,2000,1194,951,0.7964824120603015,True,ok,orb_metric_scaling_pinhole_altitude_heading,1.0,2.0,3,data/raw/zurich_mav_sample/MAV_Images/00003.jpg,00003.jpg,7075795,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.050855,5247973.644296134,469.06548226666666,95.585737,-73.35648193333334,9.235318333333334,465670.7306881333,5247977.979952733,465.0042707333333,4.061211533333335,4.061211533333335,True,0.0,0.0,474.7752990722656,-0.0791323781013488,0.9981547594070436,0.0138249536976218,-0.0403874404728412,0.0431833192706108,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.061211533333335,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.585737,gt_omega_deg,groundtruth_orientation_candidate,-4.533951288040744,4.061211533333335,1.668285828595367,95.585737,0.004545843407420642,0.00452086362351622,-0.008875934447350454,-0.010497240976575036,-0.01846044302644008,-0.01507701449718514,0.7964824120603015,0.02383493912055936,1.752678040627832
3,4,7109128,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00004.jpg,0.0,0.0,6.0882568359375,-4.3280029296875,1.0889904768490566,-1.333181930317863,0.0,0.0,2.4000244140625,-0.600006103515625,-2.4000244140625,0.600006103515625,2000,2000,1238,963,0.7778675282714055,True,ok,orb_metric_scaling_pinhole_altitude_heading,2.0,3.0,4,data/raw/zurich_mav_sample/MAV_Images/00004.jpg,00004.jpg,7109128,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.0475085,5247973.643133201,469.0884754,95.6091915,-73.39290840000001,9.267584,465670.7426087,5247977.9532101,465.0514041,4.03707129999998,4.03707129999998,True,0.0,0.0,474.8624267578125,-0.0591277554631233,0.998663067817688,0.0085247159004211,-0.029932914301753,0.0412743762135505,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.03707129999998,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.6091915,gt_omega_deg,groundtruth_orientation_candidate,-3.3877708401185616,4.03707129999998,1.668695186844776,95.6091915,0.004518822475452107,0.0044939911737942075,-0.0037435567352031972,-0.010529798956139005,-0.02220399976164328,-0.025606813453324145,0.7778675282714055,0.03389286799089739,1.7214163697356892
4,5,7142461,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00005.jpg,0.0,0.0,7.81622314453125,-6.0560302734375,1.0761482862191896,-1.3041364154258246,0.0,0.0,1.72796630859375,-1.72802734375,-1.72796630859375,1.72802734375,2000,2000,1161,1029,0.8863049095607235,True,ok,orb_metric_scaling_pinhole_altitude_heading,3.0,4.0,5,data/raw/zurich_mav_sample/MAV_Images/00005.jpg,00005.jpg,7142461,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.044162,5247973.641970267,469.1114685333333,95.632646,-73.42933486666666,9.299849666666669,465670.7545292667,5247977.926467466,465.0985374666667,4.012931066666624,4.012931066666624,True,0.0,0.0,474.6881713867188,-0.0535283684730529,0.9987468123435974,0.0063983961008489,-0.0272325966507196,0.041501484811306,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,4.012931066666624,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.632646,gt_omega_deg,groundtruth_orientation_candidate,-3.066949597727066,4.012931066666624,1.669104545094185,95.632646,0.0044918015434835725,0.004467118724072194,-0.008443840342509838,-0.0069665563273993,-0.030647840104153116,-0.03257336978072344,0.8863049095607235,0.04472487587374037,1.690818418391584
5,6,7175794,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00006.jpg,0.0,0.0,10.30462646484375,-7.0560302734375,1.050808955706739,-1.2804138706765664,0.0,0.0,2.4884033203125,-1.0,-2.4884033203125,1.0,2000,2000,1176,776,0.6598639455782312,True,ok,orb_metric_scaling_pinhole_altitude_heading,4.0,5.0,6,data/raw/zurich_mav_sample/MAV_Images/00006.jpg,00006.jpg,7175794,47.3843571,8.5451784,464.91,0.0,0.0,0.0,onboard_gps,3,6,12.99200058,1.7500000000000002e-43,0.239999995,0.170000002,0.209999993,True,465666.0408155,5247973.640807333,469.13446166666665,95.6561005,-73.46576133333333,9.332115333333334,465670.76644983335,5247977.899724834,465.1456708333333,3.9887908333333257,3.9887908333333257,True,0.0,0.0,474.6881713867188,-0.0550404638051986,0.9985955357551576,0.0051383706741034,-0.027777262032032,0.0448233596980571,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,3.9887908333333257,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.6561005,gt_omega_deg,groundtruth_orientation_candidate,-3.153586278480447,3.9887908333333257,1.669513903343594,95.6561005,0.004464780611515101,0.004440246274350244,-0.005513617426711466,-0.01061846486628236,-0.03616145753086458,-0.0431918346470058,0.6598639455782312,0.05633103577008693,1.6563994511030347
6,7,7206967,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00007.jpg,0.0137972316588275,-0.2223553406074643,12.03265380859375,-8.784027099609375,1.0381438963919458,-1.2517075086601923,0.0137972316588275,-0.2223553406074643,1.72802734375,-1.727996826171875,-1.72802734375,1.727996826171875,2000,2000,1119,981,0.8766756032171582,True,ok,orb_metric_scaling_pinhole_altitude_heading,5.0,6.0,7,data/raw/zurich_mav_sample/MAV_Images/00007.jpg,00007.jpg,7206967,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.037469,5247973.6396444,469.1574548,95.679555,-73.5021878,9.364381,465670.7783704,5247977.8729822,465.1928042,3.9646505999999695,3.9646505999999695,True,0.0,0.0,474.7752990722656,-0.0660272017121315,0.9981375336647034,0.0081720696762204,-0.0333189330995082,0.0504449307918548,0.0,0.0,0.0,1.0,957.8899536132812,471.366943359375,10.34000015258789,0.0,3.9646505999999695,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.679555,gt_omega_deg,groundtruth_orientation_candidate,-3.783079991164098,3.9646505999999695,1.669923261593003,95.679555,0.004437759679546565,0.00441337382462823,-0.00834777561792149,-0.006876190752547458,-0.044509233148786076,-0.05006802539955326,0.8766756032171582,0.18188612596872686,1.4521886845120076
7,8,7240300,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00008.jpg,0.0137972316588275,-0.2223553406074643,13.47259521484375,-11.664031982421877,1.0343436710716705,-1.2108625617174098,0.0137972316588275,-0.2223553406074643,1.43994140625,-2.8800048828125,-1.43994140625,2.8800048828125,2000,2000,950,629,0.6621052631578948,True,ok,orb_metric_scaling_pinhole_altitude_heading,6.0,7.0,8,data/raw/zurich_mav_sample/MAV_Images/00008.jpg,00008.jpg,7240300,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.0341225,5247973.638481467,469.1804479333333,95.7030095,-73.53861426666667,9.396646666666667,465670.7902909667,5247977.846239567,465.2399375666667,3.940510366666615,3.940510366666615,True,0.0,0.0,474.8624267578125,-0.0723317563533783,0.997858464717865,0.0107788955792784,-0.03654670342803,0.0531679093837738,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.34000015258789,0.0,3.940510366666615,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.7030095,gt_omega_deg,groundtruth_orientation_candidate,-4.144304363817154,3.940510366666615,1.670332619842412,95.7030095,0.004410738747578031,0.004386501374906218,-0.013201747829764032,-0.005064388002966918,-0.05771098097855011,-0.055132413402520175,0.6621052631578948,0.18187064594810912,1.4207961011998655
8,9,7273633,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00009.jpg,0.0137972316588275,-0.2223553406074643,15.54620361328125,-14.063995361328123,1.020864883391957,-1.1729789695468202,0.0137972316588275,-0.2223553406074643,2.0736083984375,-2.39996337890625,-2.0736083984375,2.39996337890625,2000,2000,946,677,0.7156448202959831,True,ok,orb_metric_scaling_pinhole_altitude_heading,7.0,8.0,9,data/raw/zurich_mav_sample/MAV_Images/00009.jpg,00009.jpg,7273633,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.030776,5247973.637318534,469.2034410666667,95.726464,-73.57504073333334,9.428912333333336,465670.8022115333,5247977.819496933,465.2870709333333,3.916370133333373,3.916370133333373,True,0.0,0.0,474.8624267578125,-0.0831057578325271,0.9973577857017516,0.015910618007183,-0.0422947704792022,0.0568826720118522,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.34000015258789,0.0,3.916370133333373,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.726464,gt_omega_deg,groundtruth_orientation_candidate,-4.761609177040088,3.916370133333373,1.6707419780918213,95.726464,0.004383717815609623,0.004359628925184331,-0.011317740930069133,-0.00800076446429355,-0.06902872190861925,-0.06313317786681373,0.7156448202959831,0.179476560286203,1.3848720298515347
9,10,7306966,/Users/harishprabhu/Documents/drone-localisation/data/raw/zurich_mav_sample/MAV_Images/00010.jpg,0.0137972316588275,-0.2223553406074643,17.27423095703125,-16.4639892578125,1.0115508888289209,-1.1369183598250179,0.0137972316588275,-0.2223553406074643,1.72802734375,-2.399993896484375,-1.72802734375,2.399993896484375,2000,2000,1257,949,0.7549721559268099,True,ok,orb_metric_scaling_pinhole_altitude_heading,8.0,9.0,10,data/raw/zurich_mav_sample/MAV_Images/00010.jpg,00010.jpg,7306966,47.3843551,8.5451786,465.164,0.0137972316588275,-0.2223553406074643,0.2539999999999622,onboard_gps,3,6,12.54100037,1.7500000000000002e-43,0.099999994,0.229999989,0.170000002,True,465666.0274295,5247973.6361556,469.2264342,95.7499185,-73.6114672,9.461178,465670.8141321,5247977.7927543,465.3342043,3.892229900000018,3.892229900000018,True,0.0,0.0,474.60107421875,-0.0924397259950637,0.997056782245636,0.0197493191808462,-0.0470959022641181,0.0571817085146904,0.0,0.0,0.0,1.0,957.8800048828124,471.4540710449219,10.34000015258789,0.0,3.892229900000018,abs_gt_z_minus_gps_z_m,approximate_debug_not_true_agl,0.0,95.7499185,gt_omega_deg,groundtruth_orientation_candidate,-5.296406158862914,3.892229900000018,1.6711513363412303,95.7499185,0.004356696883641088,0.004332756475462318,-0.011100524566304231,-0.006448813181408688,-0.08012924647492348,-0.06958199104822242,0.7549721559268099,0.17933733473585559,1.3534909960973598
